split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
combined_shift,corm_limited_memory,256,0.062500,0.029711,0.190089,0.010672,0.406250,0.060282,0.208395,0.016483,0.368445,0.157601,0.027344,0.140329
combined_shift,corm_no_context,256,0.058594,0.028827,0.193821,0.011967,0.406250,0.060282,0.212289,0.016724,0.400593,0.161674,0.031250,0.136824
combined_shift,corm_no_safety,256,0.097656,0.036435,0.173101,0.010545,0.460938,0.061182,0.207811,0.017504,0.397521,0.154126,0.000000,0.137344
combined_shift,corm_no_uncertainty,256,0.066406,0.030561,0.205971,0.014384,0.289062,0.055641,0.188946,0.016400,0.787656,0.154899,0.097656,0.111154
combined_shift,corm_repair_memory_v5,256,0.078125,0.032940,0.194321,0.011848,0.386719,0.059774,0.206791,0.016534,0.393672,0.153027,0.027344,0.135016
combined_shift,global_average_repair,256,0.054688,0.027907,0.191207,0.010668,0.464844,0.061218,0.227441,0.017942,0.348510,0.219558,0.000000,0.169843
combined_shift,knn_repair_memory_v4,256,0.066406,0.030561,0.184096,0.010371,0.441406,0.060947,0.213276,0.017597,0.373278,0.231613,0.000000,0.154332
combined_shift,last_repair_memory,256,0.046875,0.025944,0.195793,0.010504,0.476562,0.061303,0.235327,0.018057,0.053819,0.162812,0.000000,0.179279
combined_shift,nominal_mpc,256,0.046875,0.025944,0.197859,0.010539,0.480469,0.061323,0.238392,0.018190,0.000000,0.000000,0.000000,0.179740
combined_shift,oracle_hidden_deployment,256,0.449219,0.061053,0.100207,0.009177,0.015625,0.015222,0.000000,0.000000,0.000000,0.000000,0.000000,0.134161
combined_shift,robust_worst_case_mpc,256,0.058594,0.028827,0.193420,0.010085,0.375000,0.059421,0.200967,0.017091,0.000000,0.000000,0.000000,0.151677
nonstationary_deployment_shift,corm_limited_memory,256,0.097656,0.036435,0.175728,0.010781,0.390625,0.059884,0.198740,0.018200,0.346317,0.176586,0.011719,0.146712
nonstationary_deployment_shift,corm_no_context,256,0.085938,0.034401,0.178850,0.011141,0.410156,0.060371,0.207728,0.018263,0.348047,0.182757,0.015625,0.152135
nonstationary_deployment_shift,corm_no_safety,256,0.097656,0.036435,0.173887,0.010679,0.402344,0.060188,0.200460,0.018062,0.364393,0.175683,0.000000,0.150335
nonstationary_deployment_shift,corm_no_uncertainty,256,0.058594,0.028827,0.197910,0.012648,0.296875,0.056078,0.191900,0.015777,0.787656,0.164856,0.097656,0.128183
nonstationary_deployment_shift,corm_repair_memory_v5,256,0.097656,0.036435,0.178550,0.011186,0.398438,0.060091,0.203943,0.018297,0.360668,0.176824,0.011719,0.151033
nonstationary_deployment_shift,global_average_repair,256,0.105469,0.037700,0.175654,0.010261,0.421875,0.060616,0.207823,0.018204,0.350256,0.216619,0.000000,0.153231
nonstationary_deployment_shift,knn_repair_memory_v4,256,0.113281,0.038901,0.173243,0.010690,0.425781,0.060690,0.206747,0.018507,0.370890,0.236359,0.000000,0.150504
nonstationary_deployment_shift,last_repair_memory,256,0.082031,0.033681,0.180653,0.010806,0.406250,0.060282,0.207985,0.018709,0.053819,0.162812,0.000000,0.160737
nonstationary_deployment_shift,nominal_mpc,256,0.089844,0.035098,0.180316,0.010990,0.402344,0.060188,0.206488,0.018785,0.000000,0.000000,0.000000,0.158770
nonstationary_deployment_shift,oracle_hidden_deployment,256,0.445312,0.061002,0.094029,0.008267,0.003906,0.007656,0.000000,0.000000,0.000000,0.000000,0.000000,0.129933
nonstationary_deployment_shift,robust_worst_case_mpc,256,0.097656,0.036435,0.172359,0.009612,0.324219,0.057452,0.173703,0.016503,0.000000,0.000000,0.000000,0.125769
