split,baseline,paired_episodes,success_delta_mean,success_delta_boot_lo,success_delta_boot_hi,success_delta_ci95,success_signflip_p,regret_improvement_mean,regret_improvement_boot_lo,regret_improvement_boot_hi,regret_improvement_ci95,regret_signflip_p,violation_delta_mean,violation_delta_ci95
heavy_object_shift,global_average_repair,256,0.019531,-0.019531,0.058594,0.036712,0.412985,0.011710,0.000151,0.023765,0.011455,0.048084,-0.070312,0.038152
heavy_object_shift,knn_repair_memory_v4,256,0.027344,-0.007812,0.058594,0.033269,0.171589,0.010310,-0.000676,0.021545,0.011302,0.079814,-0.058594,0.039207
heavy_object_shift,online_ridge_residual,256,-0.003906,-0.046875,0.035156,0.042709,1.000000,0.002358,-0.010674,0.015362,0.013440,0.724433,-0.027344,0.042580
heavy_object_shift,corm_no_safety,256,-0.003906,-0.015625,0.007812,0.013278,1.000000,0.007266,-0.000941,0.015905,0.008152,0.075177,-0.058594,0.032656
heavy_object_shift,corm_no_uncertainty,256,0.019531,-0.023438,0.058691,0.042644,0.479375,-0.009246,-0.021330,0.002796,0.012510,0.156944,0.074219,0.041729
heavy_object_shift,oracle_hidden_deployment,256,-0.335938,-0.394531,-0.273438,0.057972,0.000244,-0.141423,-0.158512,-0.125103,0.017236,0.000244,0.289062,0.055641
high_friction_shift,random_candidate,256,0.132812,0.089844,0.175781,0.044390,0.000244,0.176449,0.146959,0.206864,0.028595,0.000244,-0.238281,0.079153
high_friction_shift,nominal_mpc,256,0.058594,0.019531,0.093750,0.037676,0.005126,0.026413,0.012482,0.040637,0.014223,0.000732,-0.039062,0.044473
high_friction_shift,robust_worst_case_mpc,256,0.070312,0.023438,0.121094,0.047744,0.006834,0.005344,-0.013563,0.022983,0.017434,0.555773,0.050781,0.051081
high_friction_shift,last_repair_memory,256,0.058594,0.019531,0.093750,0.037676,0.003417,0.027042,0.013381,0.040634,0.014134,0.000488,-0.046875,0.043012
high_friction_shift,global_average_repair,256,0.035156,0.003809,0.070312,0.033159,0.063461,0.014825,0.003736,0.027147,0.011315,0.011716,-0.042969,0.036410
high_friction_shift,knn_repair_memory_v4,256,-0.011719,-0.039062,0.015625,0.027622,0.585550,0.001771,-0.008612,0.012835,0.010357,0.741518,-0.015625,0.034253
high_friction_shift,online_ridge_residual,256,0.039062,-0.003906,0.078125,0.041743,0.097876,0.010331,-0.004455,0.024504,0.014127,0.160605,-0.011719,0.041286
high_friction_shift,corm_no_safety,256,-0.003906,-0.011816,0.000000,0.007656,1.000000,0.001921,-0.003194,0.007368,0.005239,0.494508,-0.019531,0.022889
high_friction_shift,corm_no_uncertainty,256,0.042969,0.003906,0.082031,0.039511,0.053942,0.001839,-0.013006,0.016197,0.014550,0.808640,0.050781,0.044954
high_friction_shift,oracle_hidden_deployment,256,-0.378906,-0.441406,-0.320312,0.059543,0.000244,-0.144076,-0.162038,-0.126025,0.017851,0.000244,0.253906,0.053422
light_object_shift,random_candidate,256,0.113281,0.074219,0.156250,0.041817,0.000244,0.239302,0.212939,0.266905,0.025747,0.000244,-0.226562,0.076274
light_object_shift,nominal_mpc,256,0.105469,0.066406,0.148438,0.039230,0.000244,0.060645,0.045434,0.075765,0.014186,0.000244,-0.089844,0.039812
light_object_shift,robust_worst_case_mpc,256,0.035156,-0.011816,0.082031,0.046462,0.190871,0.005611,-0.011145,0.019948,0.016674,0.500610,0.019531,0.050247
light_object_shift,last_repair_memory,256,0.101562,0.066406,0.140723,0.038631,0.000244,0.051727,0.039161,0.066115,0.013494,0.000244,-0.082031,0.038568
light_object_shift,global_average_repair,256,0.035156,-0.003906,0.074219,0.039627,0.121552,0.024462,0.011620,0.037864,0.012990,0.000488,-0.066406,0.037480
light_object_shift,knn_repair_memory_v4,256,0.027344,-0.003906,0.058594,0.031451,0.143276,0.014813,0.004003,0.025985,0.011540,0.008787,-0.042969,0.033020
light_object_shift,online_ridge_residual,256,-0.105469,-0.148438,-0.058594,0.044831,0.000244,-0.011677,-0.024874,0.002010,0.013487,0.092019,0.000000,0.035981
light_object_shift,corm_no_safety,256,-0.003906,-0.015723,0.007812,0.013278,1.000000,0.001416,-0.002862,0.005748,0.004198,0.523310,-0.019531,0.016985
light_object_shift,corm_no_uncertainty,256,-0.066406,-0.109375,-0.027344,0.043308,0.003661,-0.011873,-0.024450,0.000603,0.013063,0.070295,0.046875,0.040183
light_object_shift,oracle_hidden_deployment,256,-0.375000,-0.437500,-0.316406,0.059421,0.000244,-0.138644,-0.155960,-0.123562,0.015259,0.000244,0.269531,0.054462
low_friction_shift,random_candidate,256,0.175781,0.128906,0.230469,0.050356,0.000244,0.199896,0.172224,0.223927,0.026705,0.000244,-0.238281,0.079153
low_friction_shift,nominal_mpc,256,0.066406,0.027344,0.105469,0.039019,0.001464,0.020951,0.011875,0.030758,0.010008,0.000244,-0.058594,0.034411
low_friction_shift,robust_worst_case_mpc,256,0.000000,-0.046875,0.042969,0.047289,1.000000,-0.022577,-0.035464,-0.009633,0.013426,0.001464,0.015625,0.044690
low_friction_shift,last_repair_memory,256,0.062500,0.027344,0.101562,0.038356,0.002685,0.019109,0.008909,0.030355,0.010292,0.000244,-0.054688,0.035350
low_friction_shift,global_average_repair,256,-0.011719,-0.050781,0.023438,0.036762,0.674884,0.003933,-0.005827,0.014199,0.010128,0.454479,-0.039062,0.035660
low_friction_shift,knn_repair_memory_v4,256,-0.027344,-0.058594,0.003906,0.031451,0.144496,-0.003255,-0.013479,0.007016,0.010354,0.547962,-0.027344,0.036637
low_friction_shift,online_ridge_residual,256,-0.046875,-0.089844,-0.007812,0.038690,0.026849,-0.000801,-0.010556,0.008725,0.009777,0.875519,-0.007812,0.035969
low_friction_shift,corm_no_safety,256,-0.003906,-0.019531,0.011719,0.017147,1.000000,0.005124,-0.000686,0.011349,0.005980,0.086161,-0.039062,0.026138
low_friction_shift,corm_no_uncertainty,256,-0.042969,-0.078223,-0.003906,0.039511,0.053210,-0.007739,-0.017637,0.001663,0.009705,0.116183,0.046875,0.035518
low_friction_shift,oracle_hidden_deployment,256,-0.343750,-0.398438,-0.285156,0.058296,0.000244,-0.134294,-0.149386,-0.118348,0.016068,0.000244,0.277344,0.054949
nominal,random_candidate,256,0.359375,0.300781,0.421875,0.061818,0.000244,0.241259,0.215069,0.267273,0.026378,0.000244,-0.273438,0.077041
nominal,nominal_mpc,256,-0.046875,-0.085938,-0.007812,0.040183,0.034171,-0.000711,-0.011397,0.010495,0.011154,0.904564,-0.007812,0.037569
nominal,robust_worst_case_mpc,256,0.132812,0.070312,0.195312,0.062078,0.000244,-0.010938,-0.026763,0.004547,0.015324,0.170369,0.097656,0.046383
nominal,last_repair_memory,256,-0.062500,-0.101562,-0.027246,0.039861,0.004882,-0.002097,-0.013938,0.009850,0.011310,0.718819,-0.007812,0.037569
nominal,global_average_repair,256,-0.062500,-0.105469,-0.023438,0.041311,0.005370,0.002147,-0.010439,0.013708,0.011788,0.722968,-0.023438,0.037471
nominal,knn_repair_memory_v4,256,-0.050781,-0.085938,-0.015625,0.036258,0.012936,-0.007453,-0.016511,0.001981,0.009473,0.123017,0.007812,0.030670
nominal,online_ridge_residual,256,0.023438,-0.011719,0.058594,0.034186,0.258482,-0.003357,-0.009600,0.002931,0.006575,0.331950,0.015625,0.021613
nominal,corm_no_safety,256,-0.003906,-0.023438,0.011719,0.017147,1.000000,0.003430,-0.001690,0.008772,0.005171,0.206248,-0.015625,0.018693
nominal,corm_no_uncertainty,256,0.039062,0.000000,0.078125,0.038821,0.071028,-0.009852,-0.018566,-0.002596,0.008309,0.019038,0.046875,0.025944
nominal,oracle_hidden_deployment,256,-0.218750,-0.273438,-0.167969,0.050741,0.000244,-0.076491,-0.090315,-0.062592,0.014725,0.000244,0.187500,0.047907
nonstationary_deployment_shift,random_candidate,256,0.089844,0.054590,0.128906,0.036737,0.000244,0.109985,0.080548,0.141090,0.029502,0.000244,-0.042969,0.081376
nonstationary_deployment_shift,nominal_mpc,256,0.007812,-0.023438,0.039062,0.030670,0.809617,0.002546,-0.011620,0.016375,0.013652,0.710032,-0.003906,0.036787
nonstationary_deployment_shift,robust_worst_case_mpc,256,0.000000,-0.031250,0.031250,0.034307,1.000000,-0.030239,-0.047626,-0.014160,0.016575,0.000488,0.074219,0.045765
nonstationary_deployment_shift,last_repair_memory,256,0.015625,-0.011719,0.042969,0.028639,0.426654,0.004042,-0.008797,0.017036,0.013470,0.547230,-0.007812,0.037569
nonstationary_deployment_shift,global_average_repair,256,-0.007812,-0.039062,0.023438,0.030670,0.809861,0.003880,-0.008849,0.016868,0.012431,0.541616,-0.023438,0.037471
nonstationary_deployment_shift,knn_repair_memory_v4,256,-0.015625,-0.043066,0.011719,0.028639,0.418843,0.002805,-0.008640,0.013935,0.012152,0.649500,-0.027344,0.033269
nonstationary_deployment_shift,online_ridge_residual,256,0.007812,-0.019531,0.039062,0.028687,0.785209,-0.007008,-0.022756,0.007578,0.015380,0.385160,0.007812,0.043385
nonstationary_deployment_shift,corm_no_safety,256,0.000000,-0.011719,0.011719,0.010849,1.000000,-0.003483,-0.010482,0.002084,0.005987,0.273127,-0.003906,0.020291
nonstationary_deployment_shift,corm_no_uncertainty,256,0.039062,0.007812,0.070312,0.032191,0.030754,-0.012042,-0.025538,0.001401,0.013409,0.083720,0.101562,0.042959
nonstationary_deployment_shift,oracle_hidden_deployment,256,-0.347656,-0.406250,-0.285156,0.058452,0.000244,-0.203943,-0.222846,-0.184205,0.018297,0.000244,0.394531,0.059989
obstacle_shift,random_candidate,256,0.035156,0.011719,0.058594,0.025074,0.012936,0.158163,0.134086,0.182882,0.024366,0.000244,-0.222656,0.079095
obstacle_shift,nominal_mpc,256,-0.007812,-0.027344,0.011719,0.018766,0.691482,0.021653,0.011142,0.032821,0.011151,0.000244,-0.082031,0.041508
obstacle_shift,robust_worst_case_mpc,256,-0.007812,-0.039062,0.019629,0.030670,0.797901,0.001189,-0.013600,0.016286,0.015565,0.878448,-0.019531,0.051404
obstacle_shift,last_repair_memory,256,0.000000,-0.023438,0.023438,0.021698,1.000000,0.022173,0.012214,0.033326,0.011096,0.000732,-0.082031,0.041508
obstacle_shift,global_average_repair,256,0.000000,-0.019531,0.019531,0.018791,1.000000,0.021382,0.011010,0.032775,0.010972,0.000244,-0.097656,0.040995
obstacle_shift,knn_repair_memory_v4,256,0.000000,-0.019531,0.019531,0.018791,1.000000,0.018844,0.009727,0.027181,0.009267,0.000244,-0.078125,0.036337
obstacle_shift,online_ridge_residual,256,-0.007812,-0.023438,0.011719,0.018766,0.703686,0.005181,-0.003845,0.014373,0.009173,0.266536,-0.003906,0.035151
obstacle_shift,corm_no_safety,256,0.000000,0.000000,0.000000,0.000000,1.000000,0.007438,0.002042,0.013437,0.005823,0.010495,-0.050781,0.026948
obstacle_shift,corm_no_uncertainty,256,-0.011719,-0.035156,0.011719,0.022969,0.499390,-0.010055,-0.021980,0.000578,0.011577,0.086893,0.121094,0.040042
obstacle_shift,oracle_hidden_deployment,256,-0.308594,-0.371094,-0.253906,0.056695,0.000244,-0.156789,-0.172198,-0.140868,0.015893,0.000244,0.296875,0.056078
