split,baseline,paired_episodes,success_delta_mean,success_delta_boot_lo,success_delta_boot_hi,success_delta_ci95,success_signflip_p,regret_improvement_mean,regret_improvement_boot_lo,regret_improvement_boot_hi,regret_improvement_ci95,regret_signflip_p,violation_delta_mean,violation_delta_ci95
actuation_bias_shift,random_candidate,256,0.140625,0.089844,0.195410,0.051425,0.000244,0.189443,0.163064,0.217131,0.027515,0.000244,-0.261719,0.079524
actuation_bias_shift,nominal_mpc,256,0.066406,0.027344,0.105469,0.037480,0.000732,0.034147,0.021856,0.047505,0.013126,0.000244,-0.078125,0.042322
actuation_bias_shift,robust_worst_case_mpc,256,0.050781,-0.007812,0.109375,0.056549,0.103490,0.012207,-0.001417,0.026183,0.013737,0.085184,-0.019531,0.044003
actuation_bias_shift,last_repair_memory,256,0.066406,0.027344,0.101562,0.037480,0.001220,0.032541,0.020247,0.046798,0.012763,0.000244,-0.082031,0.041508
actuation_bias_shift,global_average_repair,256,0.019531,-0.007812,0.050781,0.029614,0.307298,0.020708,0.008741,0.032072,0.011346,0.000488,-0.082031,0.040065
actuation_bias_shift,knn_repair_memory_v4,256,-0.011719,-0.046875,0.019531,0.033407,0.641201,0.009084,-0.001120,0.020213,0.011284,0.114962,-0.054688,0.038536
actuation_bias_shift,online_ridge_residual,256,-0.023438,-0.058594,0.011719,0.034186,0.271174,0.009693,-0.001225,0.021038,0.011349,0.104223,-0.058594,0.037676
actuation_bias_shift,corm_no_safety,256,0.003906,-0.011816,0.023438,0.017147,1.000000,0.009723,0.002835,0.016559,0.006975,0.006102,-0.062500,0.031629
actuation_bias_shift,corm_no_uncertainty,256,-0.031250,-0.070312,0.007812,0.038927,0.169880,0.001025,-0.008146,0.010832,0.009546,0.837686,0.019531,0.029614
actuation_bias_shift,oracle_hidden_deployment,256,-0.402344,-0.460938,-0.339844,0.060188,0.000244,-0.137774,-0.154183,-0.121309,0.016253,0.000244,0.234375,0.051994
combined_shift,random_candidate,256,0.062500,0.031250,0.093750,0.031629,0.000244,0.076322,0.050770,0.101194,0.025829,0.000244,-0.062500,0.079352
combined_shift,nominal_mpc,256,0.031250,-0.003906,0.066406,0.034092,0.117159,0.031601,0.016410,0.047030,0.015448,0.000244,-0.093750,0.045867
combined_shift,robust_worst_case_mpc,256,0.019531,-0.019531,0.058594,0.038281,0.430315,-0.005824,-0.023598,0.013897,0.018386,0.531120,0.011719,0.049099
combined_shift,last_repair_memory,256,0.031250,-0.003906,0.066406,0.034092,0.113254,0.028537,0.013782,0.044451,0.015622,0.000244,-0.089844,0.046620
combined_shift,global_average_repair,256,0.023438,-0.007812,0.050781,0.030550,0.214303,0.020650,0.006467,0.034082,0.013853,0.004393,-0.078125,0.040908
combined_shift,knn_repair_memory_v4,256,0.011719,-0.023438,0.042969,0.031597,0.628997,0.006485,-0.006310,0.021203,0.013713,0.341958,-0.054688,0.036977
combined_shift,online_ridge_residual,256,-0.011719,-0.039062,0.015625,0.027622,0.581645,-0.005694,-0.022106,0.010491,0.015729,0.479131,-0.042969,0.045076
combined_shift,corm_no_safety,256,-0.019531,-0.039062,0.000000,0.020154,0.129363,0.001021,-0.009017,0.011105,0.010297,0.850866,-0.074219,0.033953
combined_shift,corm_no_uncertainty,256,0.011719,-0.015625,0.042969,0.029676,0.611179,-0.017845,-0.034394,0.000339,0.016985,0.039785,0.097656,0.051207
combined_shift,oracle_hidden_deployment,256,-0.371094,-0.433594,-0.316406,0.059295,0.000244,-0.206791,-0.222809,-0.190406,0.016534,0.000244,0.371094,0.059295
heavy_object_shift,random_candidate,256,0.203125,0.152344,0.257812,0.052836,0.000244,0.170533,0.142418,0.197957,0.026846,0.000244,-0.191406,0.077332
heavy_object_shift,nominal_mpc,256,0.039062,-0.003906,0.082031,0.043129,0.107640,0.019825,0.009536,0.030729,0.011034,0.000244,-0.074219,0.038806
heavy_object_shift,robust_worst_case_mpc,256,0.105469,0.058594,0.148438,0.046125,0.000244,0.006147,-0.009147,0.021548,0.015637,0.443251,0.015625,0.048479
heavy_object_shift,last_repair_memory,256,0.050781,0.007812,0.093750,0.043625,0.038077,0.020827,0.009980,0.032624,0.011339,0.000244,-0.074219,0.038806
