method,episodes,success_rate,final_distance_mean,violation_rate,energy_regret_mean,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
corm_no_safety,2304,0.170139,0.141070,0.326389,0.152675,0.432574,0.144614,0.000000,0.097098
corm_no_uncertainty,2304,0.166233,0.160899,0.220920,0.140493,0.787656,0.141373,0.044705,0.081883
corm_repair_memory_v5,2304,0.166233,0.148837,0.288194,0.148914,0.434946,0.144170,0.013889,0.095100
global_average_repair,2304,0.160590,0.144939,0.346354,0.162658,0.403441,0.174946,0.000000,0.112355
knn_repair_memory_v4,2304,0.171875,0.142896,0.327257,0.154848,0.407861,0.196261,0.000000,0.102879
last_repair_memory,2304,0.130208,0.153638,0.346788,0.171569,0.053819,0.162812,0.000000,0.123378
nominal_mpc,2304,0.130642,0.155115,0.346788,0.173033,0.000000,0.000000,0.000000,0.124647
online_ridge_residual,2304,0.180556,0.144572,0.302517,0.148806,0.787656,0.146323,0.000000,0.091322
oracle_hidden_deployment,2304,0.508681,0.086447,0.002170,0.000000,0.000000,0.000000,0.000000,0.107325
random_candidate,2304,0.020399,0.263412,0.483507,0.322397,0.000000,0.000000,0.000000,0.132945
robust_worst_case_mpc,2304,0.121094,0.153864,0.260851,0.144571,0.000000,0.000000,0.000000,0.103857
