split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
actuation_bias_shift,corm_no_safety,256,0.171875,0.046306,0.135871,0.009240,0.296875,0.056078,0.147497,0.017005,0.433415,0.137553,0.000000,0.093851
actuation_bias_shift,corm_no_uncertainty,256,0.207031,0.049732,0.152072,0.011666,0.214844,0.050411,0.138799,0.016321,0.787656,0.136737,0.046875,0.081489
actuation_bias_shift,corm_repair_memory_v5,256,0.175781,0.046719,0.144941,0.010714,0.234375,0.051994,0.137774,0.016253,0.441402,0.137787,0.015625,0.091947
actuation_bias_shift,global_average_repair,256,0.156250,0.044566,0.140935,0.009764,0.316406,0.057083,0.158481,0.017612,0.412884,0.165020,0.000000,0.114910
actuation_bias_shift,knn_repair_memory_v4,256,0.187500,0.047907,0.137473,0.009341,0.289062,0.055641,0.146857,0.017221,0.417070,0.185787,0.000000,0.101654
actuation_bias_shift,last_repair_memory,256,0.109375,0.038308,0.152712,0.010294,0.316406,0.057083,0.170315,0.018333,0.053819,0.162812,0.000000,0.130806
actuation_bias_shift,nominal_mpc,256,0.109375,0.038308,0.155473,0.010457,0.312500,0.056891,0.171920,0.018516,0.000000,0.000000,0.000000,0.134087
actuation_bias_shift,online_ridge_residual,256,0.199219,0.049024,0.137117,0.010028,0.292969,0.055862,0.147467,0.017435,0.787656,0.140085,0.000000,0.089102
actuation_bias_shift,oracle_hidden_deployment,256,0.578125,0.060616,0.078388,0.006443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.106441
actuation_bias_shift,random_candidate,256,0.035156,0.022606,0.255493,0.015410,0.496094,0.061368,0.327216,0.022339,0.000000,0.000000,0.000000,0.146207
actuation_bias_shift,robust_worst_case_mpc,256,0.125000,0.040592,0.152487,0.009733,0.253906,0.053422,0.149981,0.016532,0.000000,0.000000,0.000000,0.108856
combined_shift,corm_no_safety,256,0.097656,0.036435,0.173101,0.010545,0.460938,0.061182,0.207811,0.017504,0.397521,0.154126,0.000000,0.137344
combined_shift,corm_no_uncertainty,256,0.066406,0.030561,0.205971,0.014384,0.289062,0.055641,0.188946,0.016400,0.787656,0.154899,0.097656,0.111154
combined_shift,corm_repair_memory_v5,256,0.078125,0.032940,0.194321,0.011848,0.386719,0.059774,0.206791,0.016534,0.393672,0.153027,0.027344,0.135016
combined_shift,global_average_repair,256,0.054688,0.027907,0.191207,0.010668,0.464844,0.061218,0.227441,0.017942,0.348510,0.219558,0.000000,0.169843
combined_shift,knn_repair_memory_v4,256,0.066406,0.030561,0.184096,0.010371,0.441406,0.060947,0.213276,0.017597,0.373278,0.231613,0.000000,0.154332
combined_shift,last_repair_memory,256,0.046875,0.025944,0.195793,0.010504,0.476562,0.061303,0.235327,0.018057,0.053819,0.162812,0.000000,0.179279
combined_shift,nominal_mpc,256,0.046875,0.025944,0.197859,0.010539,0.480469,0.061323,0.238392,0.018190,0.000000,0.000000,0.000000,0.179740
combined_shift,online_ridge_residual,256,0.089844,0.035098,0.175771,0.011811,0.429688,0.060760,0.201097,0.017715,0.787656,0.160802,0.000000,0.123268
combined_shift,oracle_hidden_deployment,256,0.449219,0.061053,0.100207,0.009177,0.015625,0.015222,0.000000,0.000000,0.000000,0.000000,0.000000,0.134161
combined_shift,random_candidate,256,0.015625,0.015222,0.251718,0.013545,0.449219,0.061053,0.283113,0.020584,0.000000,0.000000,0.000000,0.170084
combined_shift,robust_worst_case_mpc,256,0.058594,0.028827,0.193420,0.010085,0.375000,0.059421,0.200967,0.017091,0.000000,0.000000,0.000000,0.151677
heavy_object_shift,corm_no_safety,256,0.242188,0.052583,0.118118,0.007988,0.347656,0.058452,0.148689,0.018340,0.452285,0.131239,0.000000,0.076672
heavy_object_shift,corm_no_uncertainty,256,0.218750,0.050741,0.141561,0.011685,0.214844,0.050411,0.132177,0.015796,0.787656,0.131437,0.027344,0.062603
heavy_object_shift,corm_repair_memory_v5,256,0.238281,0.052291,0.128536,0.009971,0.289062,0.055641,0.141423,0.017236,0.468891,0.129086,0.015625,0.071843
heavy_object_shift,global_average_repair,256,0.218750,0.050741,0.118761,0.007640,0.359375,0.058893,0.153133,0.017987,0.420623,0.159898,0.000000,0.094621
heavy_object_shift,knn_repair_memory_v4,256,0.210938,0.050075,0.120803,0.007523,0.347656,0.058452,0.151733,0.018177,0.422255,0.180692,0.000000,0.082914
heavy_object_shift,last_repair_memory,256,0.187500,0.047907,0.126800,0.007641,0.363281,0.059031,0.162250,0.018109,0.053819,0.162812,0.000000,0.103305
heavy_object_shift,nominal_mpc,256,0.199219,0.049024,0.125780,0.007728,0.363281,0.059031,0.161248,0.018095,0.000000,0.000000,0.000000,0.103482
heavy_object_shift,online_ridge_residual,256,0.242188,0.052583,0.122576,0.009437,0.316406,0.057083,0.143782,0.017943,0.787656,0.132452,0.000000,0.069449
heavy_object_shift,oracle_hidden_deployment,256,0.574219,0.060690,0.073638,0.006312,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089824
heavy_object_shift,random_candidate,256,0.035156,0.022606,0.241466,0.014290,0.480469,0.061323,0.311956,0.021189,0.000000,0.000000,0.000000,0.098572
heavy_object_shift,robust_worst_case_mpc,256,0.132812,0.041655,0.140294,0.007127,0.273438,0.054708,0.147570,0.016620,0.000000,0.000000,0.000000,0.078937
high_friction_shift,corm_no_safety,256,0.152344,0.044107,0.144442,0.008649,0.273438,0.054708,0.145997,0.018173,0.426726,0.156837,0.000000,0.104292
high_friction_shift,corm_no_uncertainty,256,0.105469,0.037700,0.165292,0.009840,0.203125,0.049381,0.145915,0.015846,0.787656,0.156010,0.015625,0.098627
high_friction_shift,corm_repair_memory_v5,256,0.148438,0.043638,0.148350,0.009217,0.253906,0.053422,0.144076,0.017851,0.426324,0.157072,0.003906,0.104126
high_friction_shift,global_average_repair,256,0.113281,0.038901,0.150551,0.007826,0.296875,0.056078,0.158901,0.018133,0.386841,0.185806,0.000000,0.122703
high_friction_shift,knn_repair_memory_v4,256,0.160156,0.045015,0.145552,0.007775,0.269531,0.054462,0.145847,0.018415,0.402211,0.202017,0.000000,0.108059
high_friction_shift,last_repair_memory,256,0.089844,0.035098,0.161489,0.007835,0.300781,0.056288,0.171118,0.018897,0.053819,0.162812,0.000000,0.136701
high_friction_shift,nominal_mpc,256,0.089844,0.035098,0.163289,0.007853,0.292969,0.055862,0.170489,0.018712,0.000000,0.000000,0.000000,0.139349
high_friction_shift,online_ridge_residual,256,0.109375,0.038308,0.154938,0.009453,0.265625,0.054210,0.154407,0.017399,0.787656,0.165092,0.000000,0.109870
high_friction_shift,oracle_hidden_deployment,256,0.527344,0.061278,0.081227,0.005657,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.102028
high_friction_shift,random_candidate,256,0.015625,0.015222,0.253607,0.013769,0.492188,0.061362,0.320526,0.022422,0.000000,0.000000,0.000000,0.132816
high_friction_shift,robust_worst_case_mpc,256,0.078125,0.032940,0.170721,0.008070,0.203125,0.049381,0.149420,0.015674,0.000000,0.000000,0.000000,0.113922
light_object_shift,corm_no_safety,256,0.132812,0.041655,0.137157,0.007981,0.289062,0.055641,0.140059,0.015377,0.449475,0.139813,0.000000,0.093461
light_object_shift,corm_no_uncertainty,256,0.195312,0.048659,0.144447,0.010829,0.222656,0.051063,0.126770,0.015877,0.787656,0.136401,0.058594,0.073856
light_object_shift,corm_repair_memory_v5,256,0.128906,0.041130,0.141711,0.008857,0.269531,0.054462,0.138644,0.015259,0.444258,0.140554,0.007812,0.094045
light_object_shift,global_average_repair,256,0.093750,0.035776,0.145980,0.008953,0.335938,0.057972,0.163105,0.016253,0.407711,0.171509,0.000000,0.112078
light_object_shift,knn_repair_memory_v4,256,0.101562,0.037076,0.143443,0.008380,0.312500,0.056891,0.153457,0.015877,0.408534,0.195878,0.000000,0.105273
light_object_shift,last_repair_memory,256,0.027344,0.020017,0.167835,0.009356,0.351562,0.058603,0.190370,0.015995,0.053819,0.162812,0.000000,0.137413
light_object_shift,nominal_mpc,256,0.023438,0.018569,0.174221,0.010075,0.359375,0.058893,0.199289,0.016381,0.000000,0.000000,0.000000,0.142619
light_object_shift,online_ridge_residual,256,0.234375,0.051994,0.130668,0.010032,0.269531,0.054462,0.126967,0.016701,0.787656,0.138199,0.000000,0.076809
light_object_shift,oracle_hidden_deployment,256,0.503906,0.061368,0.085291,0.006658,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.125287
light_object_shift,random_candidate,256,0.015625,0.015222,0.312041,0.020535,0.496094,0.061368,0.377946,0.022136,0.000000,0.000000,0.000000,0.168321
light_object_shift,robust_worst_case_mpc,256,0.093750,0.035776,0.153978,0.009172,0.250000,0.053148,0.144255,0.014559,0.000000,0.000000,0.000000,0.125724
low_friction_shift,corm_no_safety,256,0.195312,0.048659,0.126477,0.007660,0.316406,0.057083,0.139418,0.016548,0.452953,0.142357,0.000000,0.082343
low_friction_shift,corm_no_uncertainty,256,0.234375,0.051994,0.139804,0.011412,0.230469,0.051690,0.126555,0.016057,0.787656,0.138971,0.027344,0.071092
low_friction_shift,corm_repair_memory_v5,256,0.191406,0.048287,0.133234,0.009389,0.277344,0.054949,0.134294,0.016068,0.454305,0.141602,0.019531,0.079895
low_friction_shift,global_average_repair,256,0.203125,0.049381,0.125305,0.007683,0.316406,0.057083,0.138227,0.016803,0.429024,0.156430,0.000000,0.087370
low_friction_shift,knn_repair_memory_v4,256,0.218750,0.050741,0.121707,0.007635,0.304688,0.056494,0.131039,0.016515,0.418474,0.184015,0.000000,0.079920
low_friction_shift,last_repair_memory,256,0.128906,0.041130,0.135428,0.007305,0.332031,0.057803,0.153403,0.016243,0.053819,0.162812,0.000000,0.098269
low_friction_shift,nominal_mpc,256,0.125000,0.040592,0.136082,0.007245,0.335938,0.057972,0.155245,0.016183,0.000000,0.000000,0.000000,0.099393
low_friction_shift,online_ridge_residual,256,0.238281,0.052291,0.130257,0.009578,0.285156,0.055416,0.133493,0.017551,0.787656,0.143868,0.000000,0.083791
low_friction_shift,oracle_hidden_deployment,256,0.535156,0.061218,0.083242,0.006528,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103579
low_friction_shift,random_candidate,256,0.015625,0.015222,0.261149,0.015523,0.515625,0.061340,0.334190,0.021321,0.000000,0.000000,0.000000,0.110426
low_friction_shift,robust_worst_case_mpc,256,0.191406,0.048287,0.116099,0.006748,0.261719,0.053953,0.111717,0.015047,0.000000,0.000000,0.000000,0.090423
nominal,corm_no_safety,256,0.398438,0.060091,0.091747,0.006289,0.203125,0.049381,0.079921,0.015048,0.485762,0.122590,0.000000,0.040637
nominal,corm_no_uncertainty,256,0.355469,0.058750,0.097610,0.007033,0.140625,0.042669,0.066639,0.013333,0.787656,0.119626,0.003906,0.038404
nominal,corm_repair_memory_v5,256,0.394531,0.059989,0.092988,0.006732,0.187500,0.047907,0.076491,0.014725,0.487243,0.121902,0.003906,0.039230
nominal,global_average_repair,256,0.457031,0.061143,0.087662,0.006632,0.210938,0.050075,0.078639,0.015251,0.471069,0.126225,0.000000,0.043619
nominal,knn_repair_memory_v4,256,0.445312,0.061002,0.087878,0.006343,0.179688,0.047123,0.069038,0.014445,0.449066,0.154688,0.000000,0.039585
nominal,last_repair_memory,256,0.457031,0.061143,0.088182,0.006361,0.195312,0.048659,0.074394,0.014615,0.053819,0.162812,0.000000,0.044541
nominal,nominal_mpc,256,0.441406,0.060947,0.089598,0.006449,0.195312,0.048659,0.075781,0.014622,0.000000,0.000000,0.000000,0.044867
nominal,online_ridge_residual,256,0.371094,0.059295,0.094577,0.006646,0.171875,0.046306,0.073135,0.014194,0.787656,0.120692,0.000000,0.038910
nominal,oracle_hidden_deployment,256,0.613281,0.059774,0.072552,0.005814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.043041
nominal,random_candidate,256,0.035156,0.022606,0.251754,0.014088,0.460938,0.061182,0.317750,0.021393,0.000000,0.000000,0.000000,0.069463
nominal,robust_worst_case_mpc,256,0.261719,0.053953,0.112310,0.006263,0.089844,0.035098,0.065553,0.011027,0.000000,0.000000,0.000000,0.036434
nonstationary_deployment_shift,corm_no_safety,256,0.097656,0.036435,0.173887,0.010679,0.402344,0.060188,0.200460,0.018062,0.364393,0.175683,0.000000,0.150335
nonstationary_deployment_shift,corm_no_uncertainty,256,0.058594,0.028827,0.197910,0.012648,0.296875,0.056078,0.191900,0.015777,0.787656,0.164856,0.097656,0.128183
nonstationary_deployment_shift,corm_repair_memory_v5,256,0.097656,0.036435,0.178550,0.011186,0.398438,0.060091,0.203943,0.018297,0.360668,0.176824,0.011719,0.151033
nonstationary_deployment_shift,global_average_repair,256,0.105469,0.037700,0.175654,0.010261,0.421875,0.060616,0.207823,0.018204,0.350256,0.216619,0.000000,0.153231
nonstationary_deployment_shift,knn_repair_memory_v4,256,0.113281,0.038901,0.173243,0.010690,0.425781,0.060690,0.206747,0.018507,0.370890,0.236359,0.000000,0.150504
nonstationary_deployment_shift,last_repair_memory,256,0.082031,0.033681,0.180653,0.010806,0.406250,0.060282,0.207985,0.018709,0.053819,0.162812,0.000000,0.160737
nonstationary_deployment_shift,nominal_mpc,256,0.089844,0.035098,0.180316,0.010990,0.402344,0.060188,0.206488,0.018785,0.000000,0.000000,0.000000,0.158770
nonstationary_deployment_shift,online_ridge_residual,256,0.089844,0.035098,0.174567,0.010451,0.390625,0.059884,0.196934,0.016990,0.787656,0.172107,0.000000,0.139591
nonstationary_deployment_shift,oracle_hidden_deployment,256,0.445312,0.061002,0.094029,0.008267,0.003906,0.007656,0.000000,0.000000,0.000000,0.000000,0.000000,0.129933
nonstationary_deployment_shift,random_candidate,256,0.007812,0.010806,0.275971,0.016632,0.441406,0.060947,0.313928,0.022596,0.000000,0.000000,0.000000,0.161542
nonstationary_deployment_shift,robust_worst_case_mpc,256,0.097656,0.036435,0.172359,0.009612,0.324219,0.057452,0.173703,0.016503,0.000000,0.000000,0.000000,0.125769
obstacle_shift,corm_no_safety,256,0.042969,0.024890,0.168833,0.009330,0.347656,0.058452,0.164226,0.016856,0.430639,0.141326,0.000000,0.094941
obstacle_shift,corm_no_uncertainty,256,0.054688,0.027907,0.203423,0.012607,0.175781,0.046719,0.146733,0.014140,0.787656,0.133415,0.027344,0.071543
obstacle_shift,corm_repair_memory_v5,256,0.042969,0.024890,0.176905,0.010515,0.296875,0.056078,0.156789,0.015893,0.437755,0.139673,0.019531,0.088767
obstacle_shift,global_average_repair,256,0.042969,0.024890,0.168399,0.008985,0.394531,0.059989,0.178170,0.016938,0.404053,0.173449,0.000000,0.112817
obstacle_shift,knn_repair_memory_v4,256,0.042969,0.024890,0.171872,0.009025,0.375000,0.059421,0.175633,0.016881,0.408975,0.195294,0.000000,0.103672
obstacle_shift,last_repair_memory,256,0.042969,0.024890,0.173848,0.008782,0.378906,0.059543,0.178962,0.016716,0.053819,0.162812,0.000000,0.119348
obstacle_shift,nominal_mpc,256,0.050781,0.026948,0.173415,0.008753,0.378906,0.059543,0.178442,0.016900,0.000000,0.000000,0.000000,0.119516
obstacle_shift,online_ridge_residual,256,0.050781,0.026948,0.180674,0.009963,0.300781,0.056288,0.161969,0.015957,0.787656,0.143609,0.000000,0.091110
obstacle_shift,oracle_hidden_deployment,256,0.351562,0.058603,0.109451,0.007990,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131629
obstacle_shift,random_candidate,256,0.007812,0.010806,0.267511,0.014367,0.519531,0.061323,0.314951,0.019089,0.000000,0.000000,0.000000,0.139073
obstacle_shift,robust_worst_case_mpc,256,0.050781,0.026948,0.173108,0.008526,0.316406,0.057083,0.157977,0.015894,0.000000,0.000000,0.000000,0.102969
