seed,episode,split,method,true_mass,true_friction,distance_gain,angle_bias,initial_distance,chosen_action,success,final_distance,violation,energy,oracle_energy,energy_regret,ablation
0,0,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3240,8,1.0000,0.0301,0.0000,0.0416,0.0416,0.0000,False
0,0,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3240,6,1.0000,0.0718,0.0000,0.0832,0.0416,0.0416,False
0,0,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3240,6,1.0000,0.0718,0.0000,0.0832,0.0416,0.0416,False
0,0,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3240,6,1.0000,0.0718,0.0000,0.0832,0.0416,0.0416,False
0,0,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3240,6,1.0000,0.0718,0.0000,0.0832,0.0416,0.0416,False
0,0,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3240,6,1.0000,0.0718,0.0000,0.0832,0.0416,0.0416,False
0,0,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3240,8,1.0000,0.0301,0.0000,0.0416,0.0416,0.0000,False
0,1,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3925,8,0.0000,0.0742,1.0000,0.3873,0.2615,0.1259,False
0,1,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,1,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,1,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,1,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,1,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,1,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3925,2,0.0000,0.2484,0.0000,0.2615,0.2615,0.0000,False
0,2,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3312,1,0.0000,0.4495,0.0000,0.4642,0.0858,0.3784,False
0,2,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,2,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,2,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,2,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,2,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,2,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3312,4,1.0000,0.0742,0.0000,0.0858,0.0858,0.0000,False
0,3,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3018,5,0.0000,0.1681,1.0000,0.4818,0.3304,0.1514,False
0,3,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3018,10,0.0000,0.0976,1.0000,0.4086,0.3304,0.0781,False
0,3,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3018,10,0.0000,0.0976,1.0000,0.4086,0.3304,0.0781,False
0,3,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3018,10,0.0000,0.0976,1.0000,0.4086,0.3304,0.0781,False
0,3,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3018,10,0.0000,0.0976,1.0000,0.4086,0.3304,0.0781,False
0,3,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3018,10,0.0000,0.0976,1.0000,0.4086,0.3304,0.0781,False
0,3,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3018,12,0.0000,0.3195,0.0000,0.3304,0.3304,0.0000,False
0,4,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3383,0,0.0000,0.2207,1.0000,0.5325,0.0839,0.4486,False
0,4,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3383,8,0.0000,0.0427,1.0000,0.3545,0.0839,0.2706,False
0,4,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3383,8,0.0000,0.0427,1.0000,0.3545,0.0839,0.2706,False
0,4,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3383,8,0.0000,0.0427,1.0000,0.3545,0.0839,0.2706,False
0,4,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3383,8,0.0000,0.0427,1.0000,0.3545,0.0839,0.2706,False
0,4,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3383,8,0.0000,0.0427,1.0000,0.3545,0.0839,0.2706,False
0,4,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3383,10,1.0000,0.0721,0.0000,0.0839,0.0839,0.0000,False
0,5,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.3781,4,0.0000,0.1439,0.0000,0.1567,0.0471,0.1096,False
0,5,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.3781,6,0.0000,0.1074,0.0000,0.1202,0.0471,0.0731,False
0,5,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.3781,6,0.0000,0.1074,0.0000,0.1202,0.0471,0.0731,False
0,5,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3781,6,0.0000,0.1074,0.0000,0.1202,0.0471,0.0731,False
0,5,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.3781,6,0.0000,0.1074,0.0000,0.1202,0.0471,0.0731,False
0,5,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.3781,6,0.0000,0.1074,0.0000,0.1202,0.0471,0.0731,False
0,5,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.3781,8,1.0000,0.0343,0.0000,0.0471,0.0471,0.0000,False
0,6,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.4037,2,0.0000,0.1631,0.0000,0.1764,0.1046,0.0719,False
0,6,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.4037,6,0.0000,0.0912,0.0000,0.1046,0.1046,0.0000,False
0,6,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.4037,4,0.0000,0.1170,0.0000,0.1304,0.1046,0.0258,False
0,6,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.4037,6,0.0000,0.0912,0.0000,0.1046,0.1046,0.0000,False
0,6,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.4037,6,0.0000,0.0912,0.0000,0.1046,0.1046,0.0000,False
0,6,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.4037,6,0.0000,0.0912,0.0000,0.1046,0.1046,0.0000,False
0,6,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.4037,6,0.0000,0.0912,0.0000,0.1046,0.1046,0.0000,False
0,7,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.2790,12,0.0000,0.2516,1.0000,0.5619,0.0427,0.5192,False
0,7,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,7,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,7,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,7,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,7,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,7,nominal,oracle_hidden_deployment,0.1151,0.7552,1.0174,0.0052,0.2790,4,1.0000,0.0323,0.0000,0.0427,0.0427,0.0000,False
0,8,nominal,random_candidate,0.1151,0.7552,1.0174,0.0052,0.4236,3,0.0000,0.2147,1.0000,0.5324,0.0946,0.4378,False
0,8,nominal,nominal_mpc,0.1151,0.7552,1.0174,0.0052,0.4236,8,0.0000,0.0808,0.0000,0.0946,0.0946,0.0000,False
0,8,nominal,robust_worst_case_mpc,0.1151,0.7552,1.0174,0.0052,0.4236,6,0.0000,0.0880,0.0000,0.1019,0.0946,0.0073,False
0,8,nominal,last_repair_memory,0.1151,0.7552,1.0174,0.0052,0.4236,8,0.0000,0.0808,0.0000,0.0946,0.0946,0.0000,False
0,8,nominal,global_average_repair,0.1151,0.7552,1.0174,0.0052,0.4236,8,0.0000,0.0808,0.0000,0.0946,0.0946,0.0000,False
0,8,nominal,embodied_repair_memory,0.1151,0.7552,1.0174,0.0052,0.4236,8,0.0000,0.0808,0.0000,0.0946,0.0946,0.0000,False
