split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
actuation_bias_shift,corm_repair_memory_v5,6,32,0.156250,0.127818,0.130832,0.025817,0.343750,0.167198,0.155930,0.047699,0.480732,0.124521,0.000000,0.065704
actuation_bias_shift,corm_repair_memory_v5,7,32,0.250000,0.152432,0.128360,0.021838,0.218750,0.145527,0.111852,0.038778,0.423762,0.133690,0.000000,0.092769
actuation_bias_shift,global_average_repair,0,32,0.062500,0.085212,0.146460,0.021032,0.343750,0.167198,0.176260,0.049973,0.376988,0.192009,0.000000,0.128586
actuation_bias_shift,global_average_repair,1,32,0.281250,0.158274,0.081025,0.017071,0.343750,0.167198,0.111445,0.043173,0.481349,0.117694,0.000000,0.047759
actuation_bias_shift,global_average_repair,2,32,0.031250,0.061250,0.157920,0.025170,0.218750,0.145527,0.153713,0.049224,0.386073,0.181537,0.000000,0.129815
actuation_bias_shift,global_average_repair,3,32,0.000000,0.000000,0.171092,0.022828,0.656250,0.167198,0.270305,0.046968,0.361904,0.203493,0.000000,0.159640
actuation_bias_shift,global_average_repair,4,32,0.406250,0.172892,0.089046,0.014482,0.031250,0.061250,0.028988,0.022498,0.466776,0.130206,0.000000,0.054802
actuation_bias_shift,global_average_repair,5,32,0.000000,0.000000,0.237685,0.031814,0.281250,0.158274,0.245725,0.038271,0.357601,0.203973,0.000000,0.200009
actuation_bias_shift,global_average_repair,6,32,0.156250,0.127818,0.127549,0.023040,0.406250,0.172892,0.172319,0.047679,0.425972,0.153303,0.000000,0.102159
actuation_bias_shift,global_average_repair,7,32,0.312500,0.163169,0.116702,0.021155,0.250000,0.152432,0.109095,0.044337,0.446411,0.137946,0.000000,0.096508
actuation_bias_shift,knn_repair_memory_v4,0,32,0.125000,0.116422,0.136091,0.023098,0.375000,0.170424,0.175296,0.050546,0.391931,0.211031,0.000000,0.123538
actuation_bias_shift,knn_repair_memory_v4,1,32,0.343750,0.167198,0.086857,0.017322,0.250000,0.152432,0.089404,0.039443,0.452492,0.149132,0.000000,0.039164
actuation_bias_shift,knn_repair_memory_v4,2,32,0.093750,0.102609,0.148112,0.026112,0.218750,0.145527,0.143873,0.050251,0.399470,0.201902,0.000000,0.111379
actuation_bias_shift,knn_repair_memory_v4,3,32,0.000000,0.000000,0.174077,0.019600,0.531250,0.175669,0.235947,0.049651,0.384770,0.219607,0.000000,0.149173
actuation_bias_shift,knn_repair_memory_v4,4,32,0.468750,0.175669,0.085036,0.014481,0.031250,0.061250,0.025075,0.022150,0.449806,0.156915,0.000000,0.044518
actuation_bias_shift,knn_repair_memory_v4,5,32,0.000000,0.000000,0.220217,0.027712,0.281250,0.158274,0.227896,0.041866,0.389694,0.213528,0.000000,0.171806
actuation_bias_shift,knn_repair_memory_v4,6,32,0.218750,0.145527,0.114369,0.022939,0.406250,0.172892,0.158596,0.048076,0.425985,0.174420,0.000000,0.078656
actuation_bias_shift,knn_repair_memory_v4,7,32,0.250000,0.152432,0.135022,0.024167,0.218750,0.145527,0.118772,0.039999,0.442416,0.159764,0.000000,0.095001
actuation_bias_shift,last_repair_memory,0,32,0.062500,0.085212,0.145532,0.022088,0.343750,0.167198,0.175036,0.051986,0.053819,0.162812,0.000000,0.140711
actuation_bias_shift,last_repair_memory,1,32,0.250000,0.152432,0.088100,0.017062,0.343750,0.167198,0.117823,0.042208,0.053819,0.162812,0.000000,0.051094
actuation_bias_shift,last_repair_memory,2,32,0.031250,0.061250,0.156454,0.024604,0.218750,0.145527,0.152501,0.047941,0.053819,0.162812,0.000000,0.134380
actuation_bias_shift,last_repair_memory,3,32,0.031250,0.061250,0.179922,0.020260,0.562500,0.174633,0.250946,0.050916,0.053819,0.162812,0.000000,0.157346
actuation_bias_shift,last_repair_memory,4,32,0.312500,0.163169,0.097478,0.015356,0.093750,0.102609,0.056132,0.036234,0.053819,0.162812,0.000000,0.066185
actuation_bias_shift,last_repair_memory,5,32,0.000000,0.000000,0.258954,0.040013,0.281250,0.158274,0.267363,0.054114,0.053819,0.162812,0.000000,0.229431
actuation_bias_shift,last_repair_memory,6,32,0.062500,0.085212,0.145572,0.021591,0.437500,0.174633,0.199894,0.051492,0.053819,0.162812,0.000000,0.136484
actuation_bias_shift,last_repair_memory,7,32,0.125000,0.116422,0.149680,0.021761,0.250000,0.152432,0.142823,0.040944,0.053819,0.162812,0.000000,0.130819
actuation_bias_shift,nominal_mpc,0,32,0.093750,0.102609,0.142501,0.023348,0.343750,0.167198,0.172080,0.052868,0.000000,0.000000,0.000000,0.141284
actuation_bias_shift,nominal_mpc,1,32,0.250000,0.152432,0.087713,0.017099,0.343750,0.167198,0.117431,0.042321,0.000000,0.000000,0.000000,0.052567
actuation_bias_shift,nominal_mpc,2,32,0.031250,0.061250,0.157760,0.025023,0.218750,0.145527,0.153722,0.048098,0.000000,0.000000,0.000000,0.133171
actuation_bias_shift,nominal_mpc,3,32,0.031250,0.061250,0.178872,0.020424,0.562500,0.174633,0.249966,0.051286,0.000000,0.000000,0.000000,0.160018
actuation_bias_shift,nominal_mpc,4,32,0.312500,0.163169,0.095592,0.014975,0.093750,0.102609,0.054259,0.037421,0.000000,0.000000,0.000000,0.069118
actuation_bias_shift,nominal_mpc,5,32,0.000000,0.000000,0.267482,0.038938,0.250000,0.152432,0.266408,0.056306,0.000000,0.000000,0.000000,0.235368
actuation_bias_shift,nominal_mpc,6,32,0.062500,0.085212,0.149057,0.021795,0.406250,0.172892,0.193866,0.050907,0.000000,0.000000,0.000000,0.142670
actuation_bias_shift,nominal_mpc,7,32,0.093750,0.102609,0.164806,0.020654,0.281250,0.158274,0.167631,0.042679,0.000000,0.000000,0.000000,0.138496
actuation_bias_shift,online_ridge_residual,0,32,0.187500,0.137400,0.128144,0.029832,0.406250,0.172892,0.177179,0.056076,0.787656,0.147224,0.000000,0.103675
actuation_bias_shift,online_ridge_residual,1,32,0.312500,0.163169,0.101543,0.023552,0.218750,0.145527,0.094701,0.035469,0.787656,0.117229,0.000000,0.034014
actuation_bias_shift,online_ridge_residual,2,32,0.156250,0.127818,0.135082,0.022397,0.187500,0.137400,0.122228,0.041991,0.787656,0.142065,0.000000,0.095366
actuation_bias_shift,online_ridge_residual,3,32,0.093750,0.102609,0.180992,0.038227,0.593750,0.172892,0.261187,0.052442,0.787656,0.161698,0.000000,0.142814
actuation_bias_shift,online_ridge_residual,4,32,0.312500,0.163169,0.093783,0.015545,0.125000,0.116422,0.062113,0.043372,0.787656,0.116830,0.000000,0.044393
actuation_bias_shift,online_ridge_residual,5,32,0.000000,0.000000,0.203771,0.024641,0.187500,0.137400,0.181886,0.041705,0.787656,0.175862,0.000000,0.150616
actuation_bias_shift,online_ridge_residual,6,32,0.187500,0.137400,0.127046,0.021654,0.406250,0.172892,0.170621,0.049422,0.787656,0.124332,0.000000,0.060162
actuation_bias_shift,online_ridge_residual,7,32,0.343750,0.167198,0.126580,0.026008,0.218750,0.145527,0.109818,0.039975,0.787656,0.135438,0.000000,0.081771
actuation_bias_shift,oracle_hidden_deployment,0,32,0.593750,0.172892,0.073813,0.018244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103267
actuation_bias_shift,oracle_hidden_deployment,1,32,0.562500,0.174633,0.072656,0.017533,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066840
actuation_bias_shift,oracle_hidden_deployment,2,32,0.625000,0.170424,0.071623,0.015594,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078887
actuation_bias_shift,oracle_hidden_deployment,3,32,0.437500,0.174633,0.100431,0.017711,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105323
actuation_bias_shift,oracle_hidden_deployment,4,32,0.656250,0.167198,0.068586,0.013516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082692
actuation_bias_shift,oracle_hidden_deployment,5,32,0.593750,0.172892,0.078665,0.017495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182492
actuation_bias_shift,oracle_hidden_deployment,6,32,0.593750,0.172892,0.077060,0.021701,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.131443
actuation_bias_shift,oracle_hidden_deployment,7,32,0.562500,0.174633,0.084272,0.022052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100582
actuation_bias_shift,random_candidate,0,32,0.062500,0.085212,0.265188,0.041738,0.343750,0.167198,0.295097,0.066210,0.000000,0.000000,0.000000,0.157915
actuation_bias_shift,random_candidate,1,32,0.062500,0.085212,0.214302,0.035008,0.562500,0.174633,0.310284,0.059431,0.000000,0.000000,0.000000,0.087375
actuation_bias_shift,random_candidate,2,32,0.000000,0.000000,0.246100,0.048492,0.500000,0.176013,0.326133,0.063322,0.000000,0.000000,0.000000,0.135062
actuation_bias_shift,random_candidate,3,32,0.000000,0.000000,0.283989,0.041901,0.656250,0.167198,0.383521,0.050022,0.000000,0.000000,0.000000,0.199629
actuation_bias_shift,random_candidate,4,32,0.031250,0.061250,0.233328,0.039140,0.437500,0.174633,0.296227,0.066120,0.000000,0.000000,0.000000,0.100593
actuation_bias_shift,random_candidate,5,32,0.031250,0.061250,0.238010,0.034777,0.437500,0.174633,0.292474,0.048462,0.000000,0.000000,0.000000,0.234600
actuation_bias_shift,random_candidate,6,32,0.062500,0.085212,0.226498,0.032069,0.500000,0.176013,0.299031,0.064601,0.000000,0.000000,0.000000,0.119122
actuation_bias_shift,random_candidate,7,32,0.031250,0.061250,0.336528,0.058586,0.531250,0.175669,0.414963,0.075106,0.000000,0.000000,0.000000,0.135361
actuation_bias_shift,robust_worst_case_mpc,0,32,0.218750,0.145527,0.144322,0.027567,0.250000,0.152432,0.145119,0.044221,0.000000,0.000000,0.000000,0.112224
actuation_bias_shift,robust_worst_case_mpc,1,32,0.156250,0.127818,0.106863,0.018057,0.187500,0.137400,0.088830,0.032125,0.000000,0.000000,0.000000,0.043742
actuation_bias_shift,robust_worst_case_mpc,2,32,0.218750,0.145527,0.135900,0.026453,0.187500,0.137400,0.120468,0.045039,0.000000,0.000000,0.000000,0.094173
actuation_bias_shift,robust_worst_case_mpc,3,32,0.062500,0.085212,0.167096,0.020366,0.531250,0.175669,0.227168,0.048165,0.000000,0.000000,0.000000,0.147202
actuation_bias_shift,robust_worst_case_mpc,4,32,0.125000,0.116422,0.127988,0.014368,0.125000,0.116422,0.095498,0.041645,0.000000,0.000000,0.000000,0.067394
actuation_bias_shift,robust_worst_case_mpc,5,32,0.031250,0.061250,0.252393,0.038128,0.187500,0.137400,0.230767,0.048590,0.000000,0.000000,0.000000,0.208811
actuation_bias_shift,robust_worst_case_mpc,6,32,0.031250,0.061250,0.144805,0.018023,0.343750,0.167198,0.169457,0.048188,0.000000,0.000000,0.000000,0.086772
actuation_bias_shift,robust_worst_case_mpc,7,32,0.156250,0.127818,0.140533,0.019645,0.218750,0.145527,0.122540,0.040023,0.000000,0.000000,0.000000,0.110534
combined_shift,corm_no_safety,0,32,0.031250,0.061250,0.217093,0.028849,0.468750,0.175669,0.230509,0.047455,0.412385,0.168819,0.000000,0.203925
combined_shift,corm_no_safety,1,32,0.187500,0.137400,0.152497,0.032239,0.500000,0.176013,0.175163,0.051986,0.391415,0.140234,0.000000,0.117360
combined_shift,corm_no_safety,2,32,0.031250,0.061250,0.194038,0.021943,0.500000,0.176013,0.260602,0.042776,0.362303,0.176235,0.000000,0.148564
combined_shift,corm_no_safety,3,32,0.156250,0.127818,0.144324,0.032298,0.406250,0.172892,0.160211,0.050819,0.358480,0.150949,0.000000,0.123357
combined_shift,corm_no_safety,4,32,0.218750,0.145527,0.154361,0.032829,0.593750,0.172892,0.210173,0.054317,0.356663,0.159416,0.000000,0.134490
combined_shift,corm_no_safety,5,32,0.000000,0.000000,0.167379,0.019079,0.437500,0.174633,0.212158,0.048701,0.455612,0.139035,0.000000,0.121471
combined_shift,corm_no_safety,6,32,0.156250,0.127818,0.128550,0.029698,0.437500,0.174633,0.173001,0.052599,0.446410,0.145216,0.000000,0.096358
combined_shift,corm_no_safety,7,32,0.000000,0.000000,0.226567,0.022357,0.343750,0.167198,0.240673,0.039977,0.396899,0.153106,0.000000,0.153229
combined_shift,corm_no_uncertainty,0,32,0.062500,0.085212,0.209624,0.037718,0.375000,0.170424,0.196097,0.047584,0.787656,0.186009,0.218750,0.164389
combined_shift,corm_no_uncertainty,1,32,0.187500,0.137400,0.173050,0.038922,0.343750,0.167198,0.149550,0.046524,0.787656,0.144309,0.062500,0.097018
combined_shift,corm_no_uncertainty,2,32,0.031250,0.061250,0.242828,0.050768,0.218750,0.145527,0.223577,0.043180,0.787656,0.148793,0.125000,0.104861
combined_shift,corm_no_uncertainty,3,32,0.125000,0.116422,0.165505,0.038383,0.375000,0.170424,0.172712,0.051532,0.787656,0.156385,0.156250,0.107874
combined_shift,corm_no_uncertainty,4,32,0.093750,0.102609,0.243162,0.052297,0.281250,0.158274,0.205039,0.052668,0.787656,0.156398,0.062500,0.105739
combined_shift,corm_no_uncertainty,5,32,0.000000,0.000000,0.214967,0.035628,0.312500,0.163169,0.221814,0.043521,0.787656,0.140967,0.156250,0.100469
combined_shift,corm_no_uncertainty,6,32,0.031250,0.061250,0.150486,0.020637,0.218750,0.145527,0.128332,0.045517,0.787656,0.151813,0.000000,0.091408
combined_shift,corm_no_uncertainty,7,32,0.000000,0.000000,0.248148,0.030091,0.187500,0.137400,0.214443,0.030481,0.787656,0.154522,0.000000,0.117477
combined_shift,corm_repair_memory_v5,0,32,0.000000,0.000000,0.250648,0.025444,0.468750,0.175669,0.264029,0.042734,0.304374,0.170871,0.031250,0.241765
combined_shift,corm_repair_memory_v5,1,32,0.187500,0.137400,0.160265,0.035476,0.406250,0.172892,0.155042,0.048403,0.384477,0.142617,0.031250,0.114268
combined_shift,corm_repair_memory_v5,2,32,0.031250,0.061250,0.221269,0.037725,0.406250,0.172892,0.259675,0.042517,0.362378,0.176246,0.062500,0.148812
combined_shift,corm_repair_memory_v5,3,32,0.156250,0.127818,0.151100,0.033075,0.406250,0.172892,0.166987,0.053742,0.359023,0.150582,0.000000,0.127154
combined_shift,corm_repair_memory_v5,4,32,0.250000,0.152432,0.150218,0.031961,0.468750,0.175669,0.168264,0.050377,0.390749,0.154242,0.000000,0.100883
combined_shift,corm_repair_memory_v5,5,32,0.000000,0.000000,0.190723,0.023757,0.281250,0.158274,0.187855,0.040868,0.471437,0.130302,0.000000,0.099915
combined_shift,corm_repair_memory_v5,6,32,0.000000,0.000000,0.196801,0.037466,0.375000,0.170424,0.223647,0.043529,0.445408,0.146033,0.093750,0.107644
combined_shift,corm_repair_memory_v5,7,32,0.000000,0.000000,0.233543,0.023060,0.281250,0.158274,0.228826,0.037640,0.431531,0.153326,0.000000,0.139687
combined_shift,global_average_repair,0,32,0.000000,0.000000,0.254662,0.027645,0.468750,0.175669,0.267905,0.050582,0.299708,0.262674,0.000000,0.242287
combined_shift,global_average_repair,1,32,0.156250,0.127818,0.159603,0.032500,0.500000,0.176013,0.182706,0.050000,0.375988,0.198267,0.000000,0.150593
combined_shift,global_average_repair,2,32,0.031250,0.061250,0.195297,0.019273,0.500000,0.176013,0.261957,0.045851,0.352479,0.213771,0.000000,0.156942
combined_shift,global_average_repair,3,32,0.062500,0.085212,0.168265,0.033668,0.468750,0.175669,0.203950,0.051811,0.345324,0.220069,0.000000,0.172246
combined_shift,global_average_repair,4,32,0.125000,0.116422,0.193350,0.035353,0.562500,0.174633,0.240227,0.057206,0.342331,0.224249,0.000000,0.172769
combined_shift,global_average_repair,5,32,0.031250,0.061250,0.173372,0.023915,0.406250,0.172892,0.207808,0.054676,0.385954,0.187533,0.000000,0.136570
combined_shift,global_average_repair,6,32,0.031250,0.061250,0.162575,0.024131,0.437500,0.174633,0.208260,0.048261,0.363687,0.207293,0.000000,0.135025
combined_shift,global_average_repair,7,32,0.000000,0.000000,0.222532,0.028402,0.375000,0.170424,0.246711,0.043846,0.322609,0.242607,0.000000,0.192315
combined_shift,knn_repair_memory_v4,0,32,0.000000,0.000000,0.241704,0.029174,0.437500,0.174633,0.245756,0.050489,0.326182,0.285826,0.000000,0.230555
combined_shift,knn_repair_memory_v4,1,32,0.156250,0.127818,0.162665,0.032516,0.500000,0.176013,0.185627,0.050488,0.391461,0.207432,0.000000,0.145045
combined_shift,knn_repair_memory_v4,2,32,0.031250,0.061250,0.198290,0.019581,0.500000,0.176013,0.265402,0.046889,0.349815,0.258091,0.000000,0.164777
combined_shift,knn_repair_memory_v4,3,32,0.062500,0.085212,0.153173,0.031230,0.437500,0.174633,0.179119,0.049044,0.387059,0.215872,0.000000,0.137682
combined_shift,knn_repair_memory_v4,4,32,0.125000,0.116422,0.179406,0.032805,0.625000,0.170424,0.245234,0.052047,0.373666,0.230102,0.000000,0.159178
combined_shift,knn_repair_memory_v4,5,32,0.031250,0.061250,0.170313,0.021293,0.343750,0.167198,0.186223,0.048405,0.393615,0.204748,0.000000,0.122573
combined_shift,knn_repair_memory_v4,6,32,0.125000,0.116422,0.152207,0.027036,0.343750,0.167198,0.169146,0.049798,0.384219,0.221603,0.000000,0.110588
combined_shift,knn_repair_memory_v4,7,32,0.000000,0.000000,0.215008,0.025853,0.343750,0.167198,0.229702,0.044087,0.380208,0.229233,0.000000,0.164255
combined_shift,last_repair_memory,0,32,0.000000,0.000000,0.243363,0.029342,0.500000,0.176013,0.265729,0.047820,0.053819,0.162812,0.000000,0.243369
combined_shift,last_repair_memory,1,32,0.125000,0.116422,0.175816,0.032895,0.500000,0.176013,0.198443,0.051989,0.053819,0.162812,0.000000,0.175327
combined_shift,last_repair_memory,2,32,0.000000,0.000000,0.212063,0.019919,0.500000,0.176013,0.279105,0.044312,0.053819,0.162812,0.000000,0.187841
combined_shift,last_repair_memory,3,32,0.062500,0.085212,0.160089,0.034270,0.500000,0.176013,0.204652,0.056477,0.053819,0.162812,0.000000,0.149188
combined_shift,last_repair_memory,4,32,0.125000,0.116422,0.196768,0.033930,0.625000,0.170424,0.261775,0.056644,0.053819,0.162812,0.000000,0.178018
combined_shift,last_repair_memory,5,32,0.000000,0.000000,0.181525,0.023754,0.437500,0.174633,0.225303,0.053613,0.053819,0.162812,0.000000,0.162760
combined_shift,last_repair_memory,6,32,0.031250,0.061250,0.170243,0.023804,0.406250,0.172892,0.206752,0.048472,0.053819,0.162812,0.000000,0.138592
combined_shift,last_repair_memory,7,32,0.031250,0.061250,0.226478,0.026836,0.343750,0.167198,0.240860,0.045154,0.053819,0.162812,0.000000,0.199138
combined_shift,nominal_mpc,0,32,0.000000,0.000000,0.241899,0.029606,0.531250,0.175669,0.273478,0.050597,0.000000,0.000000,0.000000,0.247043
combined_shift,nominal_mpc,1,32,0.125000,0.116422,0.180255,0.033614,0.500000,0.176013,0.202664,0.052912,0.000000,0.000000,0.000000,0.178220
combined_shift,nominal_mpc,2,32,0.000000,0.000000,0.211158,0.017769,0.500000,0.176013,0.278200,0.042432,0.000000,0.000000,0.000000,0.173777
combined_shift,nominal_mpc,3,32,0.062500,0.085212,0.172155,0.034780,0.500000,0.176013,0.216697,0.057829,0.000000,0.000000,0.000000,0.162555
combined_shift,nominal_mpc,4,32,0.125000,0.116422,0.202366,0.034535,0.625000,0.170424,0.267040,0.057082,0.000000,0.000000,0.000000,0.175824
combined_shift,nominal_mpc,5,32,0.000000,0.000000,0.179534,0.023942,0.437500,0.174633,0.223120,0.053887,0.000000,0.000000,0.000000,0.163103
combined_shift,nominal_mpc,6,32,0.031250,0.061250,0.165814,0.024172,0.437500,0.174633,0.211466,0.049297,0.000000,0.000000,0.000000,0.141079
combined_shift,nominal_mpc,7,32,0.031250,0.061250,0.229693,0.027336,0.312500,0.163169,0.234470,0.043468,0.000000,0.000000,0.000000,0.196321
combined_shift,online_ridge_residual,0,32,0.062500,0.085212,0.193074,0.029360,0.468750,0.175669,0.207199,0.050212,0.787656,0.174292,0.000000,0.148344
combined_shift,online_ridge_residual,1,32,0.218750,0.145527,0.145143,0.035234,0.500000,0.176013,0.168702,0.051587,0.787656,0.146014,0.000000,0.098680
combined_shift,online_ridge_residual,2,32,0.000000,0.000000,0.199201,0.037738,0.468750,0.175669,0.256105,0.052475,0.787656,0.174322,0.000000,0.152892
combined_shift,online_ridge_residual,3,32,0.125000,0.116422,0.148280,0.030003,0.437500,0.174633,0.174435,0.051484,0.787656,0.163663,0.000000,0.113167
combined_shift,online_ridge_residual,4,32,0.187500,0.137400,0.159732,0.034652,0.625000,0.170424,0.224653,0.053773,0.787656,0.166886,0.000000,0.130262
combined_shift,online_ridge_residual,5,32,0.000000,0.000000,0.192538,0.037022,0.406250,0.172892,0.227322,0.048455,0.787656,0.154395,0.000000,0.129392
combined_shift,online_ridge_residual,6,32,0.125000,0.116422,0.140529,0.023343,0.250000,0.152432,0.127881,0.047324,0.787656,0.152579,0.000000,0.091396
combined_shift,online_ridge_residual,7,32,0.000000,0.000000,0.227669,0.027700,0.281250,0.158274,0.222477,0.033362,0.787656,0.154263,0.000000,0.122014
combined_shift,oracle_hidden_deployment,0,32,0.468750,0.175669,0.109078,0.028653,0.062500,0.085212,0.000000,0.000000,0.000000,0.000000,0.000000,0.207064
combined_shift,oracle_hidden_deployment,1,32,0.437500,0.174633,0.118764,0.030665,0.031250,0.061250,0.000000,0.000000,0.000000,0.000000,0.000000,0.111497
combined_shift,oracle_hidden_deployment,2,32,0.437500,0.174633,0.086360,0.021968,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144787
combined_shift,oracle_hidden_deployment,3,32,0.500000,0.176013,0.097010,0.030903,0.031250,0.061250,0.000000,0.000000,0.000000,0.000000,0.000000,0.121441
combined_shift,oracle_hidden_deployment,4,32,0.468750,0.175669,0.122688,0.032729,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.137936
combined_shift,oracle_hidden_deployment,5,32,0.375000,0.170424,0.089570,0.019577,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.083377
combined_shift,oracle_hidden_deployment,6,32,0.437500,0.174633,0.088238,0.019089,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.104126
combined_shift,oracle_hidden_deployment,7,32,0.468750,0.175669,0.089952,0.018434,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.163061
combined_shift,random_candidate,0,32,0.000000,0.000000,0.270575,0.041706,0.437500,0.174633,0.274249,0.062283,0.000000,0.000000,0.000000,0.220160
combined_shift,random_candidate,1,32,0.062500,0.085212,0.229989,0.036036,0.500000,0.176013,0.252519,0.060056,0.000000,0.000000,0.000000,0.132788
combined_shift,random_candidate,2,32,0.031250,0.061250,0.278506,0.047622,0.500000,0.176013,0.346098,0.062998,0.000000,0.000000,0.000000,0.208987
combined_shift,random_candidate,3,32,0.000000,0.000000,0.225082,0.034385,0.375000,0.170424,0.232083,0.049532,0.000000,0.000000,0.000000,0.167818
combined_shift,random_candidate,4,32,0.031250,0.061250,0.252062,0.034448,0.437500,0.174633,0.260878,0.049215,0.000000,0.000000,0.000000,0.145752
combined_shift,random_candidate,5,32,0.000000,0.000000,0.224974,0.030994,0.625000,0.170424,0.325070,0.062620,0.000000,0.000000,0.000000,0.138677
combined_shift,random_candidate,6,32,0.000000,0.000000,0.265473,0.039407,0.375000,0.170424,0.292165,0.058088,0.000000,0.000000,0.000000,0.147194
combined_shift,random_candidate,7,32,0.000000,0.000000,0.267084,0.038275,0.343750,0.167198,0.281839,0.055025,0.000000,0.000000,0.000000,0.199295
