split,method,seed,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
actuation_bias_shift,corm_no_safety,0,32,0.093750,0.102609,0.133124,0.020738,0.375000,0.170424,0.172690,0.050480,0.440569,0.147393,0.000000,0.112831
actuation_bias_shift,corm_no_safety,1,32,0.343750,0.167198,0.093446,0.023168,0.281250,0.158274,0.105363,0.041077,0.507122,0.111422,0.000000,0.034871
actuation_bias_shift,corm_no_safety,2,32,0.093750,0.102609,0.131842,0.024414,0.218750,0.145527,0.127949,0.048919,0.423845,0.148241,0.000000,0.087680
actuation_bias_shift,corm_no_safety,3,32,0.031250,0.061250,0.166750,0.025193,0.593750,0.172892,0.246752,0.050617,0.336814,0.158588,0.000000,0.139290
actuation_bias_shift,corm_no_safety,4,32,0.406250,0.172892,0.088281,0.015053,0.031250,0.061250,0.028199,0.024708,0.469665,0.108272,0.000000,0.047765
actuation_bias_shift,corm_no_safety,5,32,0.000000,0.000000,0.218802,0.026876,0.250000,0.152432,0.216884,0.033322,0.386265,0.167621,0.000000,0.161260
actuation_bias_shift,corm_no_safety,6,32,0.156250,0.127818,0.126362,0.022342,0.406250,0.172892,0.170285,0.049642,0.479280,0.125199,0.000000,0.074345
actuation_bias_shift,corm_no_safety,7,32,0.250000,0.152432,0.128360,0.021838,0.218750,0.145527,0.111852,0.038778,0.423762,0.133690,0.000000,0.092769
actuation_bias_shift,corm_no_uncertainty,0,32,0.218750,0.145527,0.156056,0.036694,0.218750,0.145527,0.148541,0.051881,0.787656,0.135955,0.093750,0.087942
actuation_bias_shift,corm_no_uncertainty,1,32,0.343750,0.167198,0.105067,0.022562,0.156250,0.127818,0.079828,0.034251,0.787656,0.115235,0.000000,0.033652
actuation_bias_shift,corm_no_uncertainty,2,32,0.125000,0.116422,0.163449,0.035782,0.125000,0.116422,0.131666,0.043080,0.787656,0.140771,0.031250,0.102534
actuation_bias_shift,corm_no_uncertainty,3,32,0.125000,0.116422,0.195174,0.040475,0.375000,0.170424,0.208100,0.049047,0.787656,0.154959,0.218750,0.105752
actuation_bias_shift,corm_no_uncertainty,4,32,0.312500,0.163169,0.093783,0.015545,0.125000,0.116422,0.062113,0.043372,0.787656,0.116830,0.000000,0.044393
actuation_bias_shift,corm_no_uncertainty,5,32,0.000000,0.000000,0.221865,0.027451,0.187500,0.137400,0.200175,0.031478,0.787656,0.166612,0.000000,0.136698
actuation_bias_shift,corm_no_uncertainty,6,32,0.156250,0.127818,0.155246,0.029722,0.312500,0.163169,0.170650,0.047437,0.787656,0.125250,0.031250,0.054705
actuation_bias_shift,corm_no_uncertainty,7,32,0.375000,0.170424,0.125937,0.025890,0.218750,0.145527,0.109316,0.042514,0.787656,0.138286,0.000000,0.086238
actuation_bias_shift,corm_repair_memory_v5,0,32,0.093750,0.102609,0.137865,0.025730,0.343750,0.167198,0.168013,0.050420,0.441460,0.146794,0.031250,0.114553
actuation_bias_shift,corm_repair_memory_v5,1,32,0.343750,0.167198,0.096677,0.021801,0.156250,0.127818,0.071578,0.031706,0.509036,0.110492,0.000000,0.034418
actuation_bias_shift,corm_repair_memory_v5,2,32,0.125000,0.116422,0.142330,0.027233,0.187500,0.137400,0.128961,0.048499,0.403247,0.149074,0.000000,0.089546
actuation_bias_shift,corm_repair_memory_v5,3,32,0.031250,0.061250,0.200514,0.034580,0.406250,0.172892,0.223931,0.045132,0.423185,0.158322,0.093750,0.114047
actuation_bias_shift,corm_repair_memory_v5,4,32,0.406250,0.172892,0.088281,0.015053,0.031250,0.061250,0.028199,0.024708,0.469665,0.108272,0.000000,0.047765
actuation_bias_shift,corm_repair_memory_v5,5,32,0.000000,0.000000,0.234673,0.031253,0.187500,0.137400,0.213723,0.033824,0.380128,0.171132,0.000000,0.176771
