split,phase,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
actuation_bias_shift,early,corm_no_safety,88,0.193182,0.082960,0.135778,0.016429,0.284091,0.094766,0.142920,0.029644,0.218341,0.178966,0.000000,0.102122
actuation_bias_shift,early,corm_no_uncertainty,88,0.193182,0.082960,0.142450,0.017329,0.238636,0.089570,0.135713,0.028024,0.535000,0.180407,0.022727,0.094458
actuation_bias_shift,early,corm_repair_memory_v5,88,0.193182,0.082960,0.135716,0.016396,0.272727,0.093586,0.139413,0.028838,0.222145,0.178762,0.011364,0.099769
actuation_bias_shift,early,global_average_repair,88,0.193182,0.082960,0.134851,0.016390,0.295455,0.095873,0.145481,0.030477,0.204601,0.149555,0.000000,0.107381
actuation_bias_shift,early,knn_repair_memory_v4,88,0.181818,0.081048,0.136957,0.015871,0.295455,0.095873,0.147567,0.030722,0.148651,0.198356,0.000000,0.107851
actuation_bias_shift,early,last_repair_memory,88,0.147727,0.074562,0.142898,0.015262,0.306818,0.096908,0.157009,0.029764,0.050505,0.168182,0.000000,0.113655
actuation_bias_shift,early,online_ridge_residual,88,0.181818,0.081048,0.136187,0.015448,0.284091,0.094766,0.143433,0.029281,0.535000,0.181609,0.000000,0.095981
actuation_bias_shift,late,corm_no_safety,80,0.187500,0.086071,0.139353,0.017716,0.275000,0.098464,0.149996,0.030532,0.582964,0.110901,0.000000,0.091865
actuation_bias_shift,late,corm_no_uncertainty,80,0.287500,0.099805,0.156995,0.024164,0.150000,0.078740,0.129675,0.027185,0.920000,0.108763,0.087500,0.073498
actuation_bias_shift,late,corm_repair_memory_v5,80,0.200000,0.088207,0.156515,0.022525,0.162500,0.081351,0.133249,0.027542,0.593234,0.112728,0.025000,0.088939
actuation_bias_shift,late,global_average_repair,80,0.150000,0.078740,0.144836,0.018125,0.287500,0.099805,0.158911,0.030470,0.524541,0.178693,0.000000,0.123905
actuation_bias_shift,late,knn_repair_memory_v4,80,0.262500,0.097026,0.133909,0.017561,0.250000,0.095487,0.136981,0.029544,0.603591,0.175712,0.000000,0.092196
actuation_bias_shift,late,last_repair_memory,80,0.075000,0.058082,0.158050,0.017017,0.300000,0.101054,0.175761,0.030295,0.055556,0.160000,0.000000,0.145893
actuation_bias_shift,late,online_ridge_residual,80,0.237500,0.093841,0.139869,0.019038,0.287500,0.099805,0.153826,0.032848,0.920000,0.115191,0.000000,0.084477
actuation_bias_shift,middle,corm_no_safety,88,0.136364,0.072113,0.132798,0.014072,0.329545,0.098773,0.149801,0.028563,0.512536,0.120370,0.000000,0.087386
actuation_bias_shift,middle,corm_no_uncertainty,88,0.147727,0.074562,0.157219,0.019283,0.250000,0.090991,0.150179,0.029434,0.920000,0.118500,0.034091,0.075786
actuation_bias_shift,middle,corm_repair_memory_v5,88,0.136364,0.072113,0.143645,0.016791,0.261364,0.092328,0.140247,0.028165,0.522630,0.119593,0.011364,0.086859
