phase,split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
early,actuation_bias_shift,corm_no_safety,88,0.193182,0.082960,0.135778,0.016429,0.284091,0.094766,0.142920,0.029644,0.218341,0.178966,0.000000,0.102122
early,actuation_bias_shift,corm_no_uncertainty,88,0.193182,0.082960,0.142450,0.017329,0.238636,0.089570,0.135713,0.028024,0.535000,0.180407,0.022727,0.094458
early,actuation_bias_shift,corm_repair_memory_v5,88,0.193182,0.082960,0.135716,0.016396,0.272727,0.093586,0.139413,0.028838,0.222145,0.178762,0.011364,0.099769
early,actuation_bias_shift,global_average_repair,88,0.193182,0.082960,0.134851,0.016390,0.295455,0.095873,0.145481,0.030477,0.204601,0.149555,0.000000,0.107381
early,actuation_bias_shift,knn_repair_memory_v4,88,0.181818,0.081048,0.136957,0.015871,0.295455,0.095873,0.147567,0.030722,0.148651,0.198356,0.000000,0.107851
early,actuation_bias_shift,last_repair_memory,88,0.147727,0.074562,0.142898,0.015262,0.306818,0.096908,0.157009,0.029764,0.050505,0.168182,0.000000,0.113655
early,actuation_bias_shift,nominal_mpc,88,0.159091,0.076859,0.147155,0.016257,0.284091,0.094766,0.154457,0.030143,0.000000,0.000000,0.000000,0.118709
early,actuation_bias_shift,online_ridge_residual,88,0.181818,0.081048,0.136187,0.015448,0.284091,0.094766,0.143433,0.029281,0.535000,0.181609,0.000000,0.095981
early,actuation_bias_shift,oracle_hidden_deployment,88,0.590909,0.103316,0.079188,0.011514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.101144
early,actuation_bias_shift,random_candidate,88,0.045455,0.043771,0.260867,0.026435,0.431818,0.104086,0.312578,0.038109,0.000000,0.000000,0.000000,0.149575
early,actuation_bias_shift,robust_worst_case_mpc,88,0.125000,0.069495,0.147262,0.015290,0.250000,0.090991,0.142858,0.026842,0.000000,0.000000,0.000000,0.098132
early,combined_shift,corm_no_safety,88,0.068182,0.052966,0.189357,0.017805,0.488636,0.105040,0.223291,0.028733,0.215077,0.192222,0.000000,0.160782
early,combined_shift,corm_no_uncertainty,88,0.056818,0.048645,0.202483,0.021712,0.375000,0.101731,0.202397,0.028140,0.535000,0.197059,0.056818,0.144317
early,combined_shift,corm_repair_memory_v5,88,0.068182,0.052966,0.188643,0.017849,0.488636,0.105040,0.222607,0.028685,0.215350,0.192017,0.011364,0.160017
early,combined_shift,global_average_repair,88,0.045455,0.043771,0.194754,0.018386,0.511364,0.105040,0.235726,0.029622,0.165752,0.207703,0.000000,0.181279
early,combined_shift,knn_repair_memory_v4,88,0.056818,0.048645,0.194042,0.017490,0.500000,0.105067,0.231433,0.028847,0.131976,0.236497,0.000000,0.178050
early,combined_shift,last_repair_memory,88,0.045455,0.043771,0.202048,0.017847,0.500000,0.105067,0.239787,0.028775,0.050505,0.168182,0.000000,0.190594
early,combined_shift,nominal_mpc,88,0.034091,0.038131,0.201894,0.017275,0.488636,0.105040,0.235711,0.028246,0.000000,0.000000,0.000000,0.183132
early,combined_shift,online_ridge_residual,88,0.056818,0.048645,0.185746,0.019955,0.454545,0.104632,0.209362,0.030430,0.535000,0.196865,0.000000,0.149892
