phase,split,method,episodes,success_rate,success_ci95,final_distance_mean,final_distance_ci95,violation_rate,violation_ci95,energy_regret_mean,energy_regret_ci95,decision_trust_mean,decision_uncertainty_mean,shield_activation_rate,repair_prediction_error_mean
early,combined_shift,oracle_hidden_deployment,88,0.397727,0.102846,0.114086,0.016767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117208
early,combined_shift,random_candidate,88,0.022727,0.031317,0.250420,0.023869,0.579545,0.103729,0.312078,0.035873,0.000000,0.000000,0.000000,0.180874
early,combined_shift,robust_worst_case_mpc,88,0.034091,0.038131,0.190606,0.016858,0.409091,0.103316,0.199372,0.029337,0.000000,0.000000,0.000000,0.150692
early,heavy_object_shift,corm_no_safety,88,0.215909,0.086460,0.121607,0.013285,0.318182,0.097874,0.147727,0.030634,0.232562,0.178523,0.000000,0.090172
early,heavy_object_shift,corm_no_uncertainty,88,0.306818,0.096908,0.129382,0.018968,0.204545,0.084762,0.121172,0.028097,0.535000,0.179926,0.011364,0.076174
early,heavy_object_shift,corm_repair_memory_v5,88,0.215909,0.086460,0.126400,0.014218,0.318182,0.097874,0.152549,0.031358,0.233847,0.177565,0.000000,0.090193
early,heavy_object_shift,global_average_repair,88,0.227273,0.088061,0.120258,0.012983,0.295455,0.095873,0.139618,0.029718,0.201071,0.154426,0.000000,0.095946
early,heavy_object_shift,knn_repair_memory_v4,88,0.215909,0.086460,0.120267,0.013133,0.306818,0.096908,0.143189,0.029574,0.147145,0.201141,0.000000,0.092517
early,heavy_object_shift,last_repair_memory,88,0.204545,0.084762,0.125143,0.013227,0.306818,0.096908,0.147886,0.029922,0.050505,0.168182,0.000000,0.101332
early,heavy_object_shift,nominal_mpc,88,0.215909,0.086460,0.124797,0.013319,0.318182,0.097874,0.151002,0.030012,0.000000,0.000000,0.000000,0.103416
early,heavy_object_shift,online_ridge_residual,88,0.318182,0.097874,0.116664,0.015800,0.261364,0.092328,0.125590,0.029624,0.535000,0.180740,0.000000,0.077716
early,heavy_object_shift,oracle_hidden_deployment,88,0.568182,0.104086,0.069313,0.010361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.092506
early,heavy_object_shift,random_candidate,88,0.045455,0.043771,0.233138,0.026129,0.465909,0.104823,0.303702,0.037083,0.000000,0.000000,0.000000,0.093111
early,heavy_object_shift,robust_worst_case_mpc,88,0.102273,0.063672,0.141166,0.011169,0.284091,0.094766,0.156138,0.028670,0.000000,0.000000,0.000000,0.088541
early,high_friction_shift,corm_no_safety,88,0.090909,0.060409,0.163710,0.014120,0.352273,0.100376,0.183685,0.032856,0.212995,0.199064,0.000000,0.130658
early,high_friction_shift,corm_no_uncertainty,88,0.090909,0.060409,0.170221,0.015687,0.261364,0.092328,0.163148,0.029046,0.535000,0.201000,0.022727,0.126595
early,high_friction_shift,corm_repair_memory_v5,88,0.090909,0.060409,0.164480,0.014082,0.352273,0.100376,0.184410,0.032940,0.213059,0.199022,0.000000,0.130506
early,high_friction_shift,global_average_repair,88,0.102273,0.063672,0.164338,0.014329,0.340909,0.099607,0.180947,0.032590,0.185083,0.176722,0.000000,0.135368
early,high_friction_shift,knn_repair_memory_v4,88,0.113636,0.066690,0.164137,0.014392,0.352273,0.100376,0.184152,0.032749,0.136804,0.220131,0.000000,0.134572
early,high_friction_shift,last_repair_memory,88,0.113636,0.066690,0.166721,0.014217,0.306818,0.096908,0.173083,0.032368,0.050505,0.168182,0.000000,0.137920
early,high_friction_shift,nominal_mpc,88,0.113636,0.066690,0.166674,0.014010,0.295455,0.095873,0.169592,0.031728,0.000000,0.000000,0.000000,0.137911
early,high_friction_shift,online_ridge_residual,88,0.102273,0.063672,0.161573,0.014912,0.295455,0.095873,0.164757,0.029527,0.535000,0.202883,0.000000,0.129686
early,high_friction_shift,oracle_hidden_deployment,88,0.454545,0.104632,0.086439,0.009749,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.103204
early,high_friction_shift,random_candidate,88,0.011364,0.022273,0.229348,0.019490,0.534091,0.104823,0.303842,0.034241,0.000000,0.000000,0.000000,0.133235
early,high_friction_shift,robust_worst_case_mpc,88,0.090909,0.060409,0.172716,0.014076,0.215909,0.086460,0.150496,0.027349,0.000000,0.000000,0.000000,0.119634
early,light_object_shift,corm_no_safety,88,0.113636,0.066690,0.149613,0.014849,0.272727,0.093586,0.146846,0.026282,0.225727,0.185964,0.000000,0.113044
early,light_object_shift,corm_no_uncertainty,88,0.136364,0.072113,0.145710,0.015921,0.261364,0.092328,0.138913,0.028851,0.535000,0.186794,0.034091,0.098030
early,light_object_shift,corm_repair_memory_v5,88,0.113636,0.066690,0.149613,0.014849,0.272727,0.093586,0.146846,0.026282,0.225727,0.185964,0.000000,0.113044
early,light_object_shift,global_average_repair,88,0.090909,0.060409,0.156905,0.015530,0.306818,0.096908,0.164570,0.028123,0.194036,0.167949,0.000000,0.122627
early,light_object_shift,knn_repair_memory_v4,88,0.068182,0.052966,0.158309,0.015248,0.306818,0.096908,0.165839,0.026767,0.141073,0.214183,0.000000,0.127905
early,light_object_shift,last_repair_memory,88,0.045455,0.043771,0.172728,0.015369,0.329545,0.098773,0.187436,0.028435,0.050505,0.168182,0.000000,0.139052
early,light_object_shift,nominal_mpc,88,0.045455,0.043771,0.175772,0.016211,0.329545,0.098773,0.190555,0.028574,0.000000,0.000000,0.000000,0.142128
early,light_object_shift,online_ridge_residual,88,0.159091,0.076859,0.139540,0.015850,0.284091,0.094766,0.139620,0.029198,0.535000,0.188745,0.000000,0.094655
early,light_object_shift,oracle_hidden_deployment,88,0.465909,0.104823,0.086419,0.011115,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.124171
early,light_object_shift,random_candidate,88,0.011364,0.022273,0.303762,0.026178,0.409091,0.103316,0.342535,0.031970,0.000000,0.000000,0.000000,0.162481
early,light_object_shift,robust_worst_case_mpc,88,0.068182,0.052966,0.158028,0.013900,0.261364,0.092328,0.150665,0.025483,0.000000,0.000000,0.000000,0.128104
early,low_friction_shift,corm_no_safety,88,0.204545,0.084762,0.124997,0.012830,0.284091,0.094766,0.133718,0.028055,0.224003,0.188553,0.000000,0.090241
early,low_friction_shift,corm_no_uncertainty,88,0.238636,0.089570,0.124395,0.013728,0.261364,0.092328,0.126066,0.028682,0.535000,0.188959,0.022727,0.085393
early,low_friction_shift,corm_repair_memory_v5,88,0.204545,0.084762,0.125127,0.012816,0.284091,0.094766,0.133817,0.028042,0.223896,0.188632,0.000000,0.089687
early,low_friction_shift,global_average_repair,88,0.204545,0.084762,0.124757,0.013094,0.284091,0.094766,0.133646,0.028415,0.201903,0.157403,0.000000,0.088864
early,low_friction_shift,knn_repair_memory_v4,88,0.204545,0.084762,0.124937,0.012888,0.306818,0.096908,0.140594,0.028587,0.148290,0.202107,0.000000,0.090700
early,low_friction_shift,last_repair_memory,88,0.159091,0.076859,0.126910,0.012757,0.306818,0.096908,0.142782,0.028630,0.050505,0.168182,0.000000,0.092560
early,low_friction_shift,nominal_mpc,88,0.147727,0.074562,0.128073,0.012680,0.329545,0.098773,0.150869,0.028586,0.000000,0.000000,0.000000,0.093424
early,low_friction_shift,online_ridge_residual,88,0.250000,0.090991,0.125842,0.014182,0.272727,0.093586,0.130832,0.029210,0.535000,0.188830,0.000000,0.087817
early,low_friction_shift,oracle_hidden_deployment,88,0.602273,0.102846,0.077561,0.010827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100710
early,low_friction_shift,random_candidate,88,0.034091,0.038131,0.251866,0.028103,0.454545,0.104632,0.312000,0.037870,0.000000,0.000000,0.000000,0.106082
early,low_friction_shift,robust_worst_case_mpc,88,0.215909,0.086460,0.109647,0.010635,0.215909,0.086460,0.096958,0.023846,0.000000,0.000000,0.000000,0.095184
early,nominal,corm_no_safety,88,0.522727,0.104958,0.087594,0.012083,0.193182,0.082960,0.079813,0.026687,0.236925,0.174596,0.000000,0.048589
early,nominal,corm_no_uncertainty,88,0.443182,0.104386,0.092391,0.012455,0.170455,0.079017,0.077418,0.025947,0.535000,0.173344,0.000000,0.046570
early,nominal,corm_repair_memory_v5,88,0.500000,0.105067,0.088509,0.012008,0.193182,0.082960,0.080780,0.026626,0.236947,0.174601,0.000000,0.048609
early,nominal,global_average_repair,88,0.545455,0.104632,0.084167,0.012049,0.193182,0.082960,0.076607,0.026663,0.219134,0.131931,0.000000,0.048878
early,nominal,knn_repair_memory_v4,88,0.534091,0.104823,0.086709,0.012086,0.204545,0.084762,0.082385,0.027807,0.155295,0.185794,0.000000,0.049761
early,nominal,last_repair_memory,88,0.545455,0.104632,0.083489,0.011860,0.170455,0.079017,0.069134,0.024871,0.050505,0.168182,0.000000,0.047208
early,nominal,nominal_mpc,88,0.545455,0.104632,0.083730,0.011972,0.170455,0.079017,0.069373,0.024841,0.000000,0.000000,0.000000,0.047264
early,nominal,online_ridge_residual,88,0.443182,0.104386,0.090626,0.012029,0.193182,0.082960,0.082544,0.026665,0.535000,0.173879,0.000000,0.047939
early,nominal,oracle_hidden_deployment,88,0.670455,0.098773,0.065489,0.010249,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047928
early,nominal,random_candidate,88,0.045455,0.043771,0.261402,0.023946,0.454545,0.104632,0.332079,0.036957,0.000000,0.000000,0.000000,0.061677
early,nominal,robust_worst_case_mpc,88,0.295455,0.095873,0.111359,0.011421,0.068182,0.052966,0.065116,0.017497,0.000000,0.000000,0.000000,0.038930
early,nonstationary_deployment_shift,corm_no_safety,88,0.079545,0.056860,0.186319,0.018522,0.420455,0.103729,0.216835,0.030642,0.201871,0.203431,0.000000,0.165954
early,nonstationary_deployment_shift,corm_no_uncertainty,88,0.056818,0.048645,0.195271,0.018833,0.375000,0.101731,0.211907,0.027288,0.535000,0.199386,0.090909,0.145608
early,nonstationary_deployment_shift,corm_repair_memory_v5,88,0.079545,0.056860,0.187754,0.018767,0.409091,0.103316,0.214861,0.030552,0.201674,0.203610,0.000000,0.165964
early,nonstationary_deployment_shift,global_average_repair,88,0.079545,0.056860,0.186585,0.019041,0.420455,0.103729,0.216929,0.029293,0.169052,0.199596,0.000000,0.171583
early,nonstationary_deployment_shift,knn_repair_memory_v4,88,0.102273,0.063672,0.186700,0.020064,0.431818,0.104086,0.220616,0.031026,0.131251,0.236218,0.000000,0.174727
early,nonstationary_deployment_shift,last_repair_memory,88,0.068182,0.052966,0.191914,0.019946,0.431818,0.104086,0.225738,0.031244,0.050505,0.168182,0.000000,0.176555
early,nonstationary_deployment_shift,nominal_mpc,88,0.090909,0.060409,0.187671,0.020481,0.431818,0.104086,0.221524,0.031950,0.000000,0.000000,0.000000,0.174072
early,nonstationary_deployment_shift,online_ridge_residual,88,0.045455,0.043771,0.189570,0.018178,0.409091,0.103316,0.216336,0.027736,0.535000,0.202585,0.000000,0.151874
early,nonstationary_deployment_shift,oracle_hidden_deployment,88,0.488636,0.105040,0.093203,0.015872,0.011364,0.022273,0.000000,0.000000,0.000000,0.000000,0.000000,0.128314
early,nonstationary_deployment_shift,random_candidate,88,0.011364,0.022273,0.282884,0.032876,0.409091,0.103316,0.309876,0.042077,0.000000,0.000000,0.000000,0.181952
early,nonstationary_deployment_shift,robust_worst_case_mpc,88,0.079545,0.056860,0.180401,0.017087,0.363636,0.101084,0.192424,0.027277,0.000000,0.000000,0.000000,0.146366
early,obstacle_shift,corm_no_safety,88,0.045455,0.043771,0.163258,0.014723,0.375000,0.101731,0.164076,0.027711,0.223415,0.181855,0.000000,0.100162
early,obstacle_shift,corm_no_uncertainty,88,0.056818,0.048645,0.187571,0.018626,0.284091,0.094766,0.161192,0.026884,0.535000,0.183075,0.011364,0.093505
early,obstacle_shift,corm_repair_memory_v5,88,0.045455,0.043771,0.163258,0.014723,0.375000,0.101731,0.164076,0.027711,0.223415,0.181855,0.000000,0.100162
early,obstacle_shift,global_average_repair,88,0.045455,0.043771,0.164397,0.014062,0.397727,0.102846,0.172370,0.029189,0.197238,0.161520,0.000000,0.107744
early,obstacle_shift,knn_repair_memory_v4,88,0.056818,0.048645,0.166452,0.014117,0.397727,0.102846,0.174420,0.028707,0.144264,0.207802,0.000000,0.108441
early,obstacle_shift,last_repair_memory,88,0.045455,0.043771,0.166475,0.014208,0.397727,0.102846,0.174396,0.028735,0.050505,0.168182,0.000000,0.113761
early,obstacle_shift,nominal_mpc,88,0.056818,0.048645,0.168384,0.013692,0.409091,0.103316,0.179665,0.028832,0.000000,0.000000,0.000000,0.111117
early,obstacle_shift,online_ridge_residual,88,0.045455,0.043771,0.172498,0.015739,0.340909,0.099607,0.163221,0.026865,0.535000,0.185116,0.000000,0.098184
early,obstacle_shift,oracle_hidden_deployment,88,0.340909,0.099607,0.112225,0.014027,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126800
early,obstacle_shift,random_candidate,88,0.011364,0.022273,0.262625,0.021538,0.579545,0.103729,0.325424,0.031624,0.000000,0.000000,0.000000,0.156639
early,obstacle_shift,robust_worst_case_mpc,88,0.090909,0.060409,0.167481,0.014017,0.306818,0.096908,0.146543,0.027207,0.000000,0.000000,0.000000,0.103488
late,actuation_bias_shift,corm_no_safety,80,0.187500,0.086071,0.139353,0.017716,0.275000,0.098464,0.149996,0.030532,0.582964,0.110901,0.000000,0.091865
late,actuation_bias_shift,corm_no_uncertainty,80,0.287500,0.099805,0.156995,0.024164,0.150000,0.078740,0.129675,0.027185,0.920000,0.108763,0.087500,0.073498
late,actuation_bias_shift,corm_repair_memory_v5,80,0.200000,0.088207,0.156515,0.022525,0.162500,0.081351,0.133249,0.027542,0.593234,0.112728,0.025000,0.088939
late,actuation_bias_shift,global_average_repair,80,0.150000,0.078740,0.144836,0.018125,0.287500,0.099805,0.158911,0.030470,0.524541,0.178693,0.000000,0.123905
late,actuation_bias_shift,knn_repair_memory_v4,80,0.262500,0.097026,0.133909,0.017561,0.250000,0.095487,0.136981,0.029544,0.603591,0.175712,0.000000,0.092196
late,actuation_bias_shift,last_repair_memory,80,0.075000,0.058082,0.158050,0.017017,0.300000,0.101054,0.175761,0.030295,0.055556,0.160000,0.000000,0.145893
late,actuation_bias_shift,nominal_mpc,80,0.075000,0.058082,0.158724,0.017120,0.300000,0.101054,0.176581,0.030642,0.000000,0.000000,0.000000,0.149323
late,actuation_bias_shift,online_ridge_residual,80,0.237500,0.093841,0.139869,0.019038,0.287500,0.099805,0.153826,0.032848,0.920000,0.115191,0.000000,0.084477
late,actuation_bias_shift,oracle_hidden_deployment,80,0.612500,0.107431,0.072885,0.011147,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.118192
late,actuation_bias_shift,random_candidate,80,0.050000,0.048061,0.260117,0.030626,0.525000,0.110121,0.345864,0.043223,0.000000,0.000000,0.000000,0.133311
late,actuation_bias_shift,robust_worst_case_mpc,80,0.125000,0.072929,0.154336,0.017689,0.237500,0.093841,0.152353,0.029147,0.000000,0.000000,0.000000,0.119672
late,combined_shift,corm_no_safety,80,0.100000,0.066155,0.168144,0.018818,0.425000,0.109011,0.191405,0.031354,0.509695,0.129783,0.000000,0.124795
late,combined_shift,corm_no_uncertainty,80,0.050000,0.048061,0.212084,0.026320,0.212500,0.090208,0.170842,0.025476,0.920000,0.128572,0.125000,0.089828
late,combined_shift,corm_repair_memory_v5,80,0.075000,0.058082,0.199831,0.023165,0.325000,0.103285,0.193039,0.028479,0.512379,0.128669,0.050000,0.124828
late,combined_shift,global_average_repair,80,0.062500,0.053379,0.192130,0.019436,0.450000,0.109706,0.222930,0.031592,0.449804,0.228472,0.000000,0.164071
late,combined_shift,knn_repair_memory_v4,80,0.062500,0.053379,0.180455,0.018521,0.425000,0.109011,0.203972,0.030910,0.536690,0.226035,0.000000,0.140881
late,combined_shift,last_repair_memory,80,0.050000,0.048061,0.191740,0.018153,0.475000,0.110121,0.229640,0.032587,0.055556,0.160000,0.000000,0.169906
late,combined_shift,nominal_mpc,80,0.050000,0.048061,0.194693,0.018086,0.475000,0.110121,0.232526,0.033042,0.000000,0.000000,0.000000,0.173340
late,combined_shift,online_ridge_residual,80,0.087500,0.062311,0.175761,0.020623,0.375000,0.106757,0.183797,0.028986,0.920000,0.138749,0.000000,0.099650
late,combined_shift,oracle_hidden_deployment,80,0.487500,0.110224,0.098216,0.017448,0.025000,0.034428,0.000000,0.000000,0.000000,0.000000,0.000000,0.158587
late,combined_shift,random_candidate,80,0.025000,0.034428,0.254315,0.024336,0.412500,0.108557,0.273840,0.036698,0.000000,0.000000,0.000000,0.172101
late,combined_shift,robust_worst_case_mpc,80,0.075000,0.058082,0.194889,0.018391,0.350000,0.105180,0.194063,0.029860,0.000000,0.000000,0.000000,0.151048
late,heavy_object_shift,corm_no_safety,80,0.187500,0.086071,0.127017,0.014991,0.387500,0.107431,0.162069,0.033188,0.603745,0.100747,0.000000,0.069239
late,heavy_object_shift,corm_no_uncertainty,80,0.087500,0.062311,0.163398,0.021283,0.225000,0.092084,0.149565,0.026087,0.920000,0.100446,0.037500,0.052166
late,heavy_object_shift,corm_repair_memory_v5,80,0.187500,0.086071,0.146883,0.020719,0.287500,0.099805,0.151604,0.030243,0.630548,0.098771,0.037500,0.062256
late,heavy_object_shift,global_average_repair,80,0.137500,0.075940,0.123157,0.013490,0.450000,0.109706,0.177522,0.032425,0.545400,0.163761,0.000000,0.093164
late,heavy_object_shift,knn_repair_memory_v4,80,0.125000,0.072929,0.128638,0.012738,0.387500,0.107431,0.164374,0.033367,0.611254,0.167041,0.000000,0.074646
late,heavy_object_shift,last_repair_memory,80,0.087500,0.062311,0.129893,0.012549,0.437500,0.109394,0.180279,0.031706,0.055556,0.160000,0.000000,0.104952
late,heavy_object_shift,nominal_mpc,80,0.087500,0.062311,0.130766,0.012719,0.437500,0.109394,0.181206,0.031982,0.000000,0.000000,0.000000,0.105819
late,heavy_object_shift,online_ridge_residual,80,0.137500,0.075940,0.139672,0.019244,0.387500,0.107431,0.174790,0.033208,0.920000,0.101619,0.000000,0.067729
late,heavy_object_shift,oracle_hidden_deployment,80,0.500000,0.110259,0.080949,0.010936,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.090579
late,heavy_object_shift,random_candidate,80,0.012500,0.024500,0.239628,0.023598,0.537500,0.109948,0.319253,0.034209,0.000000,0.000000,0.000000,0.108226
late,heavy_object_shift,robust_worst_case_mpc,80,0.112500,0.069679,0.147396,0.013164,0.312500,0.102212,0.158736,0.030319,0.000000,0.000000,0.000000,0.075662
late,high_friction_shift,corm_no_safety,80,0.212500,0.090208,0.130183,0.014059,0.162500,0.081351,0.101942,0.026655,0.586932,0.128357,0.000000,0.086749
late,high_friction_shift,corm_no_uncertainty,80,0.100000,0.066155,0.160238,0.016263,0.150000,0.078740,0.128400,0.026453,0.920000,0.125630,0.000000,0.077495
late,high_friction_shift,corm_repair_memory_v5,80,0.200000,0.088207,0.139029,0.016161,0.125000,0.072929,0.099573,0.025330,0.587527,0.127903,0.000000,0.084867
late,high_friction_shift,global_average_repair,80,0.162500,0.081351,0.139820,0.013421,0.212500,0.090208,0.125695,0.028877,0.504524,0.189350,0.000000,0.110217
late,high_friction_shift,knn_repair_memory_v4,80,0.225000,0.092084,0.133335,0.013057,0.162500,0.081351,0.104748,0.028283,0.586453,0.184531,0.000000,0.089034
late,high_friction_shift,last_repair_memory,80,0.087500,0.062311,0.158222,0.013816,0.262500,0.097026,0.159492,0.032489,0.055556,0.160000,0.000000,0.134231
late,high_friction_shift,nominal_mpc,80,0.112500,0.069679,0.162162,0.014291,0.250000,0.095487,0.159719,0.032721,0.000000,0.000000,0.000000,0.139331
late,high_friction_shift,online_ridge_residual,80,0.112500,0.069679,0.145557,0.014634,0.187500,0.086071,0.124964,0.028207,0.920000,0.141180,0.000000,0.084771
late,high_friction_shift,oracle_hidden_deployment,80,0.600000,0.108031,0.078039,0.009720,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.100841
late,high_friction_shift,random_candidate,80,0.012500,0.024500,0.267292,0.026517,0.437500,0.109394,0.320944,0.042065,0.000000,0.000000,0.000000,0.132819
late,high_friction_shift,robust_worst_case_mpc,80,0.087500,0.062311,0.167984,0.014337,0.187500,0.086071,0.145030,0.027592,0.000000,0.000000,0.000000,0.104927
late,light_object_shift,corm_no_safety,80,0.187500,0.086071,0.125608,0.014898,0.287500,0.099805,0.130740,0.027398,0.595669,0.113300,0.000000,0.077792
late,light_object_shift,corm_no_uncertainty,80,0.262500,0.097026,0.136374,0.019996,0.162500,0.081351,0.103289,0.023653,0.920000,0.103220,0.075000,0.055784
late,light_object_shift,corm_repair_memory_v5,80,0.175000,0.083789,0.135768,0.017838,0.237500,0.093841,0.125659,0.026171,0.587201,0.114899,0.012500,0.079053
late,light_object_shift,global_average_repair,80,0.112500,0.069679,0.149610,0.018927,0.300000,0.101054,0.158870,0.028069,0.528802,0.174287,0.000000,0.115911
late,light_object_shift,knn_repair_memory_v4,80,0.125000,0.072929,0.132418,0.014872,0.275000,0.098464,0.133891,0.026000,0.596877,0.176678,0.000000,0.087319
late,light_object_shift,last_repair_memory,80,0.025000,0.034428,0.170019,0.019517,0.337500,0.104273,0.191332,0.027160,0.055556,0.160000,0.000000,0.140629
late,light_object_shift,nominal_mpc,80,0.012500,0.024500,0.174009,0.019690,0.350000,0.105180,0.199182,0.027586,0.000000,0.000000,0.000000,0.143135
late,light_object_shift,online_ridge_residual,80,0.312500,0.102212,0.128985,0.022234,0.250000,0.095487,0.122035,0.031364,0.920000,0.106818,0.000000,0.067638
late,light_object_shift,oracle_hidden_deployment,80,0.537500,0.109948,0.082545,0.012119,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.127771
late,light_object_shift,random_candidate,80,0.025000,0.034428,0.296629,0.042726,0.575000,0.109011,0.388942,0.045865,0.000000,0.000000,0.000000,0.171496
late,light_object_shift,robust_worst_case_mpc,80,0.112500,0.069679,0.156684,0.019318,0.225000,0.092084,0.142205,0.024773,0.000000,0.000000,0.000000,0.134300
late,low_friction_shift,corm_no_safety,80,0.187500,0.086071,0.127699,0.012550,0.325000,0.103285,0.140097,0.030439,0.617962,0.112783,0.000000,0.078468
late,low_friction_shift,corm_no_uncertainty,80,0.250000,0.095487,0.151938,0.022975,0.187500,0.086071,0.122848,0.029155,0.920000,0.107514,0.037500,0.064197
late,low_friction_shift,corm_repair_memory_v5,80,0.175000,0.083789,0.141532,0.018856,0.237500,0.093841,0.127335,0.029195,0.621692,0.110691,0.037500,0.075823
late,low_friction_shift,global_average_repair,80,0.225000,0.092084,0.124464,0.013328,0.337500,0.104273,0.140419,0.030806,0.556122,0.158039,0.000000,0.086208
late,low_friction_shift,knn_repair_memory_v4,80,0.287500,0.099805,0.113231,0.012895,0.325000,0.103285,0.125462,0.030366,0.605108,0.171269,0.000000,0.069130
late,low_friction_shift,last_repair_memory,80,0.125000,0.072929,0.141763,0.012246,0.350000,0.105180,0.162026,0.029553,0.055556,0.160000,0.000000,0.101322
late,low_friction_shift,nominal_mpc,80,0.125000,0.072929,0.142293,0.012104,0.337500,0.104273,0.158741,0.029362,0.000000,0.000000,0.000000,0.103448
late,low_friction_shift,online_ridge_residual,80,0.250000,0.095487,0.133234,0.019698,0.287500,0.099805,0.134228,0.035558,0.920000,0.115292,0.000000,0.085283
late,low_friction_shift,oracle_hidden_deployment,80,0.487500,0.110224,0.086643,0.011005,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.105511
late,low_friction_shift,random_candidate,80,0.012500,0.024500,0.283347,0.027269,0.587500,0.108557,0.374728,0.041269,0.000000,0.000000,0.000000,0.122904
late,low_friction_shift,robust_worst_case_mpc,80,0.200000,0.088207,0.120217,0.011516,0.250000,0.095487,0.109251,0.027669,0.000000,0.000000,0.000000,0.088547
late,nominal,corm_no_safety,80,0.337500,0.104273,0.087262,0.010297,0.262500,0.097026,0.096375,0.029084,0.669011,0.087600,0.000000,0.037982
late,nominal,corm_no_uncertainty,80,0.325000,0.103285,0.093678,0.011164,0.162500,0.081351,0.072393,0.024369,0.920000,0.084059,0.000000,0.035861
late,nominal,corm_repair_memory_v5,80,0.350000,0.105180,0.086086,0.010222,0.250000,0.095487,0.091631,0.028653,0.673040,0.085718,0.000000,0.035723
